policy,tau,recall,fp_ground,fp_neg
P0,0.0,0.997,7,0.204
P1 τ_a=0.1,,0.997,7,0.204
P1 τ_a=0.2,,0.997,7,0.111
P1 τ_a=0.3,,0.997,0,0.091
P1 τ_a=0.4,,0.997,0,0.091
P1 τ_a=0.5,,0.96,0,0.045
P1 τ_a=0.6,,0.783,0,0.0
P1 τ_a=0.7,,0.418,0,0.0
P1 τ_a=0.8,,0.016,0,0.0
P2 τ_a=0.1,,1.0,26,0.395
P2 τ_a=0.2,,1.0,7,0.111
P2 τ_a=0.3,,0.997,0,0.091
P2 τ_a=0.4,,0.997,0,0.091
P2 τ_a=0.5,,0.96,0,0.045
P2 τ_a=0.6,,0.783,0,0.0
P2 τ_a=0.7,,0.418,0,0.0
P2 τ_a=0.8,,0.016,0,0.0
P3 τ_a=0.1,,0.997,7,0.184
P3 τ_a=0.2,,0.997,7,0.184
P3 τ_a=0.3,,0.997,7,0.184
P3 τ_a=0.4,,0.997,7,0.184
P3 τ_a=0.5,,0.997,7,0.184
P3 τ_a=0.6,,0.997,7,0.184
P3 τ_a=0.7,,0.997,7,0.184
P3 τ_a=0.8,,0.997,7,0.184
