t0,p_drone,label,airborne_gt
0.0,0.0,non-drone,0
0.5,0.0,non-drone,0
1.0,0.0,non-drone,0
1.5,0.0,non-drone,0
2.0,0.0,non-drone,0
2.5,0.0,non-drone,0
3.0,0.0,non-drone,0
3.5,0.0,non-drone,0
4.0,0.0,non-drone,0
4.5,0.0,non-drone,0
5.0,0.0,non-drone,0
5.5,0.0,non-drone,0
6.0,0.0,non-drone,0
6.5,0.0,non-drone,0
7.0,0.0,non-drone,0
7.5,0.0,non-drone,0
8.0,0.0,non-drone,0
8.5,0.0,non-drone,0
9.0,0.0,non-drone,0
9.5,0.0,non-drone,0
10.0,0.0,non-drone,0
10.5,0.819,drone,1
11.0,0.0,non-drone,1
11.5,0.5335,drone,1
12.0,0.7038,drone,1
12.5,0.7355,drone,1
13.0,0.0,non-drone,1
13.5,0.0,non-drone,1
14.0,0.0,non-drone,1
14.5,0.0,non-drone,1
15.0,0.0,non-drone,1
15.5,0.762,drone,1
16.0,0.775,drone,1
16.5,0.744,drone,1
17.0,0.6935,drone,1
17.5,0.65,drone,1
18.0,0.7883,drone,1
18.5,0.8212,drone,1
19.0,0.7993,drone,1
19.5,0.6633,drone,1
20.0,0.7202,drone,1
20.5,0.66,drone,1
21.0,0.6245,drone,1
21.5,0.0,non-drone,1
22.0,0.6261,drone,1
22.5,0.5722,drone,1
23.0,0.0,non-drone,1
23.5,0.5184,drone,1
24.0,0.6061,drone,1
24.5,0.7281,drone,1
25.0,0.6992,drone,1
25.5,0.0,non-drone,1
26.0,0.6106,drone,1
26.5,0.6726,drone,1
27.0,0.6973,drone,1
27.5,0.6582,drone,1
28.0,0.6769,drone,1
28.5,0.7471,drone,1
29.0,0.6712,drone,1
29.5,0.856,drone,1
30.0,0.7971,drone,1
30.5,0.7959,drone,1
31.0,0.7719,drone,1
31.5,0.7628,drone,1
32.0,0.7728,drone,1
32.5,0.8312,drone,1
33.0,0.7241,drone,1
33.5,0.6486,drone,1
34.0,0.5697,drone,1
34.5,0.5337,drone,1
35.0,0.5784,drone,1
35.5,0.0,non-drone,1
36.0,0.0,non-drone,1
36.5,0.5999,drone,1
37.0,0.7283,drone,1
37.5,0.5908,drone,1
38.0,0.676,drone,1
38.5,0.765,drone,1
39.0,0.7462,drone,1
39.5,0.7972,drone,1
40.0,0.5585,drone,1
40.5,0.0,non-drone,1
41.0,0.628,drone,1
41.5,0.8611,drone,1
42.0,0.7916,drone,1
42.5,0.7717,drone,1
43.0,0.7892,drone,1
43.5,0.6666,drone,1
44.0,0.6908,drone,1
44.5,0.7702,drone,1
45.0,0.7114,drone,1
45.5,0.6014,drone,1
46.0,0.0,non-drone,1
46.5,0.0,non-drone,1
47.0,0.0,non-drone,1
47.5,0.0,non-drone,1
48.0,0.0,non-drone,1
48.5,0.5778,drone,1
49.0,0.7352,drone,1
49.5,0.7455,drone,1
50.0,0.5428,drone,1
50.5,0.6305,drone,1
51.0,0.5858,drone,1
51.5,0.5577,drone,1
52.0,0.0,non-drone,1
52.5,0.6388,drone,1
53.0,0.6861,drone,1
53.5,0.5159,drone,1
54.0,0.5975,drone,1
54.5,0.6125,drone,1
55.0,0.0,non-drone,1
55.5,0.5094,drone,1
56.0,0.6075,drone,1
56.5,0.5867,drone,1
57.0,0.565,drone,1
57.5,0.0,non-drone,1
58.0,0.0,non-drone,1
58.5,0.0,non-drone,1
59.0,0.5833,drone,1
59.5,0.0,non-drone,1
60.0,0.5896,drone,1
60.5,0.8811,drone,1
61.0,0.8007,drone,1
61.5,0.5582,drone,1
62.0,0.0,non-drone,1
62.5,0.0,non-drone,1
63.0,0.6436,drone,1
63.5,0.7259,drone,1
64.0,0.8168,drone,1
64.5,0.5485,drone,1
65.0,0.6352,drone,1
65.5,0.0,non-drone,1
66.0,0.0,non-drone,0
66.5,0.0,non-drone,0
67.0,0.0,non-drone,0
67.5,0.0,non-drone,0
68.0,0.5729,drone,0
68.5,0.5365,drone,0
69.0,0.0,non-drone,0
69.5,0.0,non-drone,0
70.0,0.0,non-drone,0
70.5,0.0,non-drone,0
71.0,0.0,non-drone,0
71.5,0.0,non-drone,0
