profile,policy,P,R,F1
healthy,video-only,0.771,1.0,0.871
healthy,late05,0.977,0.766,0.859
healthy,late09,0.771,1.0,0.871
healthy,late05_med,0.989,0.847,0.913
healthy,late05_health,0.827,0.775,0.8
healthy,late05_med_health,0.851,0.874,0.862
deaf_first25,video-only,0.771,1.0,0.871
deaf_first25,late05,0.974,0.685,0.804
deaf_first25,late09,0.771,1.0,0.871
deaf_first25,late05_med,0.988,0.766,0.863
deaf_first25,late05_health,0.835,0.82,0.827
deaf_first25,late05_med_health,0.857,0.919,0.887
deaf_last50,video-only,0.771,1.0,0.871
deaf_last50,late05,1.0,0.369,0.539
deaf_last50,late09,0.771,1.0,0.871
deaf_last50,late05_med,1.0,0.396,0.568
deaf_last50,late05_health,0.769,0.838,0.802
deaf_last50,late05_med_health,0.778,0.883,0.827
intermittent,video-only,0.771,1.0,0.871
intermittent,late05,0.967,0.523,0.678
intermittent,late09,0.771,1.0,0.871
intermittent,late05_med,0.984,0.559,0.713
intermittent,late05_health,0.791,0.613,0.69
intermittent,late05_med_health,0.813,0.667,0.733
full_deaf,video-only,0.771,1.0,0.871
full_deaf,late05,nan,0.0,nan
full_deaf,late09,0.771,1.0,0.871
full_deaf,late05_med,nan,0.0,nan
full_deaf,late05_health,0.799,1.0,0.888
full_deaf,late05_med_health,0.799,1.0,0.888
