profile,policy,P,R,F1
healthy,video-only,0.771,1.0,0.871
healthy,late05,0.977,0.766,0.859
healthy,late05_med,0.989,0.847,0.913
healthy,late05_med_healthV2,0.989,0.847,0.913
deaf_first25,video-only,0.771,1.0,0.871
deaf_first25,late05,0.974,0.685,0.804
deaf_first25,late05_med,0.988,0.766,0.863
deaf_first25,late05_med_healthV2,0.989,0.811,0.891
deaf_last50,video-only,0.771,1.0,0.871
deaf_last50,late05,1.0,0.369,0.539
deaf_last50,late05_med,1.0,0.396,0.568
deaf_last50,late05_med_healthV2,0.881,0.802,0.84
intermittent,video-only,0.771,1.0,0.871
intermittent,late05,0.967,0.523,0.678
intermittent,late05_med,0.984,0.559,0.713
intermittent,late05_med_healthV2,0.984,0.559,0.713
full_deaf,video-only,0.771,1.0,0.871
full_deaf,late05,,0.0,0.0
full_deaf,late05_med,,0.0,0.0
full_deaf,late05_med_healthV2,0.894,0.91,0.902
