img,n_boxes,max_conf,fp@0.25,fp@0.4,fp@0.5,fp@0.7
000000000285.jpg,2,0.2742,1,0,0,0
000000000632.jpg,10,0.2342,0,0,0,0
000000000724.jpg,14,0.3541,1,0,0,0
000000000776.jpg,6,0.6178,1,1,1,0
000000000785.jpg,3,0.7928,1,1,1,1
000000000802.jpg,1,0.0146,0,0,0,0
000000000872.jpg,5,0.4623,1,1,0,0
000000000885.jpg,7,0.581,1,1,1,0
000000001000.jpg,12,0.3771,1,0,0,0
000000001268.jpg,7,0.3131,1,0,0,0
000000001296.jpg,4,0.6929,1,1,1,0
000000001353.jpg,2,0.1455,0,0,0,0
000000001425.jpg,5,0.2691,1,0,0,0
000000001490.jpg,3,0.6521,1,1,1,0
000000001503.jpg,1,0.1617,0,0,0,0
000000001584.jpg,2,0.1474,0,0,0,0
000000001675.jpg,5,0.0901,0,0,0,0
000000001761.jpg,8,0.712,1,1,1,1
000000001818.jpg,4,0.4897,1,1,0,0
000000001993.jpg,3,0.4308,1,1,0,0
000000002006.jpg,0,0.0,0,0,0,0
000000002157.jpg,7,0.4372,1,1,0,0
000000002261.jpg,5,0.3989,1,0,0,0
000000002299.jpg,14,0.184,0,0,0,0
000000002431.jpg,2,0.565,1,1,1,0
000000002473.jpg,23,0.6459,1,1,1,0
000000002532.jpg,15,0.1465,0,0,0,0
000000002587.jpg,2,0.7208,1,1,1,1
000000002592.jpg,2,0.0356,0,0,0,0
000000002923.jpg,6,0.0738,0,0,0,0
000000003156.jpg,5,0.5332,1,1,1,0
000000003255.jpg,20,0.6107,1,1,1,0
000000003501.jpg,1,0.6883,1,1,1,0
000000003553.jpg,1,0.0178,0,0,0,0
000000003934.jpg,5,0.1911,0,0,0,0
000000004134.jpg,6,0.3256,1,0,0,0
000000004395.jpg,4,0.7647,1,1,1,1
000000004495.jpg,1,0.3284,1,0,0,0
000000004795.jpg,8,0.3414,1,0,0,0
000000005037.jpg,10,0.0976,0,0,0,0
000000005060.jpg,2,0.0268,0,0,0,0
000000005193.jpg,6,0.4211,1,1,0,0
000000005477.jpg,9,0.0855,0,0,0,0
000000005503.jpg,4,0.0365,0,0,0,0
000000005586.jpg,2,0.0804,0,0,0,0
000000005600.jpg,2,0.5758,1,1,1,0
000000006012.jpg,7,0.7718,1,1,1,1
000000006040.jpg,11,0.2492,0,0,0,0
000000006213.jpg,1,0.0497,0,0,0,0
000000006460.jpg,8,0.3972,1,0,0,0
000000006471.jpg,7,0.3664,1,0,0,0
000000006723.jpg,6,0.2413,0,0,0,0
000000006763.jpg,3,0.3776,1,0,0,0
000000006771.jpg,7,0.5929,1,1,1,0
000000006894.jpg,4,0.146,0,0,0,0
000000006954.jpg,1,0.4606,1,1,0,0
000000007088.jpg,5,0.5126,1,1,1,0
000000007108.jpg,1,0.0158,0,0,0,0
000000007278.jpg,2,0.4781,1,1,0,0
000000007281.jpg,5,0.5507,1,1,1,0
000000007386.jpg,7,0.2314,0,0,0,0
000000007574.jpg,6,0.1904,0,0,0,0
000000007784.jpg,1,0.7831,1,1,1,1
000000007795.jpg,1,0.0209,0,0,0,0
000000007816.jpg,4,0.1806,0,0,0,0
000000007818.jpg,9,0.3479,1,0,0,0
000000007888.jpg,3,0.7367,1,1,1,1
000000007991.jpg,2,0.4866,1,1,0,0
000000008277.jpg,2,0.6718,1,1,1,0
000000008532.jpg,4,0.2014,0,0,0,0
000000008629.jpg,1,0.0175,0,0,0,0
000000008690.jpg,5,0.5909,1,1,1,0
000000008762.jpg,3,0.584,1,1,1,0
000000008844.jpg,4,0.4943,1,1,0,0
000000009378.jpg,4,0.0888,0,0,0,0
000000009400.jpg,4,0.5541,1,1,1,0
000000009448.jpg,5,0.3131,1,0,0,0
000000009483.jpg,4,0.1854,0,0,0,0
000000009769.jpg,7,0.1513,0,0,0,0
000000009772.jpg,8,0.2312,0,0,0,0
000000009891.jpg,7,0.2155,0,0,0,0
000000009914.jpg,3,0.7706,1,1,1,1
000000010092.jpg,3,0.0988,0,0,0,0
000000010363.jpg,7,0.1146,0,0,0,0
000000010583.jpg,14,0.7534,1,1,1,1
000000010707.jpg,11,0.2801,1,0,0,0
000000010977.jpg,1,0.0248,0,0,0,0
000000010995.jpg,5,0.1104,0,0,0,0
000000011051.jpg,2,0.3035,1,0,0,0
000000011149.jpg,3,0.6128,1,1,1,0
000000011197.jpg,5,0.3034,1,0,0,0
000000011511.jpg,5,0.4875,1,1,0,0
000000011615.jpg,7,0.0849,0,0,0,0
000000011760.jpg,9,0.4071,1,1,0,0
000000011813.jpg,2,0.0435,0,0,0,0
000000012062.jpg,3,0.0204,0,0,0,0
000000012120.jpg,25,0.3324,1,0,0,0
000000012280.jpg,2,0.0223,0,0,0,0
000000012576.jpg,3,0.0125,0,0,0,0
000000012639.jpg,7,0.3787,1,0,0,0
000000012667.jpg,4,0.6084,1,1,1,0
000000012670.jpg,7,0.3678,1,0,0,0
000000012748.jpg,6,0.4792,1,1,0,0
000000013177.jpg,9,0.286,1,0,0,0
000000013201.jpg,1,0.6841,1,1,1,0
000000013291.jpg,1,0.6095,1,1,1,0
000000013546.jpg,5,0.1107,0,0,0,0
000000013597.jpg,3,0.248,0,0,0,0
000000013659.jpg,14,0.1843,0,0,0,0
000000013729.jpg,0,0.0,0,0,0,0
000000013774.jpg,2,0.0269,0,0,0,0
000000013923.jpg,5,0.1031,0,0,0,0
000000014007.jpg,4,0.6879,1,1,1,0
000000014038.jpg,5,0.0502,0,0,0,0
000000014226.jpg,5,0.3262,1,0,0,0
000000014380.jpg,2,0.1808,0,0,0,0
000000014439.jpg,9,0.3105,1,0,0,0
000000014888.jpg,2,0.4016,1,1,0,0
000000015079.jpg,1,0.4411,1,1,0,0
000000015254.jpg,4,0.104,0,0,0,0
000000015272.jpg,14,0.4128,1,1,0,0
000000015278.jpg,6,0.7282,1,1,1,1
000000015335.jpg,16,0.2346,0,0,0,0
000000015338.jpg,9,0.3379,1,0,0,0
000000015440.jpg,0,0.0,0,0,0,0
000000015497.jpg,2,0.3018,1,0,0,0
000000015517.jpg,11,0.0746,0,0,0,0
000000015597.jpg,2,0.0861,0,0,0,0
000000015660.jpg,147,0.0976,0,0,0,0
000000015746.jpg,12,0.3131,1,0,0,0
000000015751.jpg,7,0.2481,0,0,0,0
000000015956.jpg,2,0.0277,0,0,0,0
000000016010.jpg,14,0.4647,1,1,0,0
000000016228.jpg,10,0.2222,0,0,0,0
000000016249.jpg,7,0.4522,1,1,0,0
000000016439.jpg,5,0.4768,1,1,0,0
000000016451.jpg,14,0.1533,0,0,0,0
000000016598.jpg,4,0.3015,1,0,0,0
000000016958.jpg,5,0.093,0,0,0,0
000000017029.jpg,11,0.5681,1,1,1,0
