img,n_boxes,max_conf,fp@0.25,fp@0.4,fp@0.5,fp@0.7
000000000285.jpg,0,0.0,0,0,0,0
000000000632.jpg,9,0.5984,1,1,1,0
000000000724.jpg,1,0.0196,0,0,0,0
000000000776.jpg,0,0.0,0,0,0,0
000000000785.jpg,7,0.0447,0,0,0,0
000000000802.jpg,5,0.1084,0,0,0,0
000000000872.jpg,0,0.0,0,0,0,0
000000000885.jpg,0,0.0,0,0,0,0
000000001000.jpg,0,0.0,0,0,0,0
000000001268.jpg,0,0.0,0,0,0,0
000000001296.jpg,1,0.011,0,0,0,0
000000001353.jpg,0,0.0,0,0,0,0
000000001425.jpg,2,0.0207,0,0,0,0
000000001490.jpg,0,0.0,0,0,0,0
000000001503.jpg,2,0.0123,0,0,0,0
000000001584.jpg,10,0.5267,1,1,1,0
000000001675.jpg,5,0.0712,0,0,0,0
000000001761.jpg,2,0.8535,1,1,1,1
000000001818.jpg,0,0.0,0,0,0,0
000000001993.jpg,0,0.0,0,0,0,0
000000002006.jpg,10,0.0689,0,0,0,0
000000002157.jpg,0,0.0,0,0,0,0
000000002261.jpg,1,0.0261,0,0,0,0
000000002299.jpg,0,0.0,0,0,0,0
000000002431.jpg,1,0.0252,0,0,0,0
000000002473.jpg,5,0.2461,0,0,0,0
000000002532.jpg,3,0.0194,0,0,0,0
000000002587.jpg,1,0.1142,0,0,0,0
000000002592.jpg,2,0.526,1,1,1,0
000000002923.jpg,7,0.602,1,1,1,0
000000003156.jpg,1,0.0598,0,0,0,0
000000003255.jpg,2,0.0664,0,0,0,0
000000003501.jpg,0,0.0,0,0,0,0
000000003553.jpg,1,0.0145,0,0,0,0
000000003934.jpg,5,0.0771,0,0,0,0
000000004134.jpg,0,0.0,0,0,0,0
000000004395.jpg,0,0.0,0,0,0,0
000000004495.jpg,2,0.1066,0,0,0,0
000000004795.jpg,2,0.0323,0,0,0,0
000000005037.jpg,6,0.1965,0,0,0,0
000000005060.jpg,0,0.0,0,0,0,0
000000005193.jpg,0,0.0,0,0,0,0
000000005477.jpg,0,0.0,0,0,0,0
