img,n_boxes,max_conf,fp@0.25,fp@0.4,fp@0.5,fp@0.7
000000000285.jpg,26,0.3467,1,0,0,0
000000000632.jpg,57,0.513,1,1,1,0
000000000724.jpg,11,0.1531,0,0,0,0
000000000776.jpg,5,0.0511,0,0,0,0
000000000785.jpg,8,0.6025,1,1,1,0
000000000802.jpg,29,0.6196,1,1,1,0
000000000872.jpg,14,0.51,1,1,1,0
000000000885.jpg,10,0.4715,1,1,0,0
000000001000.jpg,17,0.1651,0,0,0,0
000000001268.jpg,6,0.5418,1,1,1,0
000000001296.jpg,5,0.0846,0,0,0,0
000000001353.jpg,12,0.2748,1,0,0,0
000000001425.jpg,5,0.0695,0,0,0,0
000000001490.jpg,4,0.2187,0,0,0,0
000000001503.jpg,3,0.0218,0,0,0,0
000000001584.jpg,7,0.5704,1,1,1,0
000000001675.jpg,12,0.0788,0,0,0,0
000000001761.jpg,6,0.8653,1,1,1,1
000000001818.jpg,5,0.0828,0,0,0,0
000000001993.jpg,23,0.5481,1,1,1,0
000000002006.jpg,25,0.4747,1,1,0,0
000000002157.jpg,1,0.2218,0,0,0,0
000000002261.jpg,23,0.168,0,0,0,0
000000002299.jpg,20,0.1527,0,0,0,0
000000002431.jpg,11,0.4169,1,1,0,0
000000002473.jpg,6,0.0812,0,0,0,0
000000002532.jpg,8,0.4387,1,1,0,0
000000002587.jpg,12,0.0945,0,0,0,0
000000002592.jpg,6,0.3873,1,0,0,0
000000002923.jpg,3,0.6427,1,1,1,0
000000003156.jpg,4,0.2034,0,0,0,0
000000003255.jpg,12,0.0525,0,0,0,0
000000003501.jpg,15,0.0708,0,0,0,0
000000003553.jpg,6,0.2018,0,0,0,0
000000003934.jpg,18,0.2019,0,0,0,0
000000004134.jpg,4,0.0391,0,0,0,0
000000004395.jpg,1,0.0111,0,0,0,0
000000004495.jpg,7,0.3079,1,0,0,0
000000004795.jpg,8,0.0516,0,0,0,0
000000005037.jpg,15,0.1305,0,0,0,0
000000005060.jpg,15,0.2833,1,0,0,0
000000005193.jpg,8,0.1423,0,0,0,0
000000005477.jpg,16,0.2212,0,0,0,0
000000005503.jpg,6,0.071,0,0,0,0
000000005586.jpg,6,0.2164,0,0,0,0
000000005600.jpg,4,0.4653,1,1,0,0
000000006012.jpg,8,0.2622,1,0,0,0
000000006040.jpg,17,0.7015,1,1,1,1
000000006213.jpg,6,0.7477,1,1,1,1
000000006460.jpg,11,0.6228,1,1,1,0
000000006471.jpg,5,0.4185,1,1,0,0
000000006723.jpg,47,0.5391,1,1,1,0
000000006763.jpg,26,0.3776,1,0,0,0
000000006771.jpg,4,0.29,1,0,0,0
000000006894.jpg,7,0.6327,1,1,1,0
000000006954.jpg,22,0.2126,0,0,0,0
000000007088.jpg,12,0.2403,0,0,0,0
000000007108.jpg,5,0.105,0,0,0,0
000000007278.jpg,9,0.5374,1,1,1,0
000000007281.jpg,7,0.2273,0,0,0,0
000000007386.jpg,6,0.6076,1,1,1,0
000000007574.jpg,39,0.388,1,0,0,0
000000007784.jpg,1,0.7797,1,1,1,1
000000007795.jpg,42,0.5003,1,1,1,0
000000007816.jpg,4,0.6759,1,1,1,0
000000007818.jpg,9,0.5242,1,1,1,0
000000007888.jpg,2,0.2158,0,0,0,0
000000007991.jpg,10,0.2348,0,0,0,0
000000008277.jpg,19,0.5547,1,1,1,0
000000008532.jpg,4,0.3955,1,0,0,0
000000008629.jpg,4,0.3149,1,0,0,0
000000008690.jpg,19,0.3164,1,0,0,0
000000008762.jpg,11,0.2607,1,0,0,0
000000008844.jpg,8,0.3329,1,0,0,0
000000009378.jpg,8,0.3267,1,0,0,0
000000009400.jpg,8,0.5228,1,1,1,0
000000009448.jpg,7,0.3763,1,0,0,0
000000009483.jpg,18,0.4699,1,1,0,0
000000009769.jpg,4,0.5843,1,1,1,0
000000009772.jpg,26,0.5629,1,1,1,0
000000009891.jpg,17,0.7848,1,1,1,1
000000009914.jpg,23,0.1144,0,0,0,0
000000010092.jpg,31,0.5487,1,1,1,0
000000010363.jpg,11,0.4152,1,1,0,0
000000010583.jpg,15,0.3808,1,0,0,0
000000010707.jpg,5,0.1452,0,0,0,0
000000010977.jpg,17,0.4878,1,1,0,0
000000010995.jpg,6,0.5857,1,1,1,0
000000011051.jpg,9,0.1233,0,0,0,0
000000011149.jpg,21,0.1887,0,0,0,0
000000011197.jpg,60,0.5442,1,1,1,0
000000011511.jpg,27,0.6019,1,1,1,0
000000011615.jpg,5,0.7943,1,1,1,1
000000011760.jpg,38,0.2701,1,0,0,0
000000011813.jpg,3,0.5366,1,1,1,0
000000012062.jpg,55,0.1041,0,0,0,0
000000012120.jpg,10,0.047,0,0,0,0
000000012280.jpg,33,0.5559,1,1,1,0
