img,n_boxes,max_conf,fp@0.25,fp@0.4,fp@0.5,fp@0.7
coco-background_coco_bg_00012_0064083_coco_bg_00012.jpg,14,0.4009,1,1,0,0
coco-background_coco_bg_00017_0064088_coco_bg_00017.jpg,29,0.1865,0,0,0,0
coco-background_coco_bg_00018_0064089_coco_bg_00018.jpg,22,0.2687,1,0,0,0
coco-background_coco_bg_00044_0064115_coco_bg_00044.jpg,9,0.0505,0,0,0,0
coco-background_coco_bg_00055_0064126_coco_bg_00055.jpg,6,0.2746,1,0,0,0
coco-background_coco_bg_00066_0064137_coco_bg_00066.jpg,6,0.1228,0,0,0,0
coco-background_coco_bg_00068_0064139_coco_bg_00068.jpg,15,0.0984,0,0,0,0
coco-background_coco_bg_00073_0064144_coco_bg_00073.jpg,4,0.6063,1,1,1,0
coco-background_coco_bg_01007_0064178_coco_bg_01007.jpg,10,0.5365,1,1,1,0
coco-background_coco_bg_01011_0064182_coco_bg_01011.jpg,19,0.5058,1,1,1,0
coco-background_coco_bg_01021_0064192_coco_bg_01021.jpg,8,0.3464,1,0,0,0
coco-background_coco_bg_01069_0064240_coco_bg_01069.jpg,22,0.1217,0,0,0,0
coco-background_coco_bg_01075_0064246_coco_bg_01075.jpg,3,0.7613,1,1,1,1
coco-background_coco_bg_01101_0064272_coco_bg_01101.jpg,19,0.6708,1,1,1,0
coco-background_coco_bg_01105_0064276_coco_bg_01105.jpg,14,0.2111,0,0,0,0
coco-background_coco_bg_01109_0064280_coco_bg_01109.jpg,74,0.6372,1,1,1,0
coco-background_coco_bg_01152_0064323_coco_bg_01152.jpg,17,0.3546,1,0,0,0
coco-background_coco_bg_01171_0064342_coco_bg_01171.jpg,24,0.2705,1,0,0,0
coco-background_coco_bg_01191_0064362_coco_bg_01191.jpg,5,0.0397,0,0,0,0
coco-background_coco_bg_01215_0064386_coco_bg_01215.jpg,4,0.4704,1,1,0,0
coco-background_coco_bg_01218_0064389_coco_bg_01218.jpg,20,0.2835,1,0,0,0
coco-background_coco_bg_01221_0064392_coco_bg_01221.jpg,7,0.3373,1,0,0,0
coco-background_coco_bg_01240_0064411_coco_bg_01240.jpg,27,0.2731,1,0,0,0
coco-background_coco_bg_01241_0064412_coco_bg_01241.jpg,24,0.174,0,0,0,0
coco-background_coco_bg_01256_0064427_coco_bg_01256.jpg,13,0.0744,0,0,0,0
coco-background_coco_bg_01261_0064432_coco_bg_01261.jpg,41,0.4309,1,1,0,0
coco-background_coco_bg_01268_0064439_coco_bg_01268.jpg,45,0.2442,0,0,0,0
coco-background_coco_bg_01273_0064444_coco_bg_01273.jpg,27,0.3107,1,0,0,0
coco-background_coco_bg_01274_0064445_coco_bg_01274.jpg,29,0.1185,0,0,0,0
coco-background_coco_bg_01292_0064463_coco_bg_01292.jpg,14,0.3045,1,0,0,0
coco-background_coco_bg_01300_0064471_coco_bg_01300.jpg,91,0.6138,1,1,1,0
coco-background_coco_bg_01308_0064479_coco_bg_01308.jpg,16,0.5943,1,1,1,0
coco-background_coco_bg_01313_0064484_coco_bg_01313.jpg,40,0.4312,1,1,0,0
coco-background_coco_bg_01317_0064488_coco_bg_01317.jpg,12,0.1006,0,0,0,0
coco-background_coco_bg_01335_0064506_coco_bg_01335.jpg,11,0.2894,1,0,0,0
coco-background_coco_bg_01342_0064513_coco_bg_01342.jpg,9,0.1037,0,0,0,0
coco-background_coco_bg_01363_0064534_coco_bg_01363.jpg,3,0.2961,1,0,0,0
coco-background_coco_bg_01368_0064539_coco_bg_01368.jpg,11,0.2152,0,0,0,0
coco-background_coco_bg_01371_0064542_coco_bg_01371.jpg,21,0.7613,1,1,1,1
coco-background_coco_bg_01417_0064588_coco_bg_01417.jpg,30,0.1578,0,0,0,0
coco-background_coco_bg_01438_0064609_coco_bg_01438.jpg,10,0.562,1,1,1,0
coco-background_coco_bg_01446_0064617_coco_bg_01446.jpg,9,0.0862,0,0,0,0
coco-background_coco_bg_01460_0064631_coco_bg_01460.jpg,49,0.1987,0,0,0,0
coco-background_coco_bg_01482_0064653_coco_bg_01482.jpg,29,0.5531,1,1,1,0
coco-background_coco_bg_01484_0064655_coco_bg_01484.jpg,19,0.3883,1,0,0,0
coco-background_coco_bg_01485_0064656_coco_bg_01485.jpg,19,0.2091,0,0,0,0
coco-background_coco_bg_01491_0064662_coco_bg_01491.jpg,11,0.127,0,0,0,0
coco-background_coco_bg_01499_0064670_coco_bg_01499.jpg,18,0.7261,1,1,1,1
coco-background_coco_bg_01508_0064679_coco_bg_01508.jpg,49,0.2109,0,0,0,0
coco-background_coco_bg_01517_0064688_coco_bg_01517.jpg,7,0.1314,0,0,0,0
coco-background_coco_bg_01519_0064690_coco_bg_01519.jpg,5,0.0633,0,0,0,0
coco-background_coco_bg_01525_0064696_coco_bg_01525.jpg,29,0.173,0,0,0,0
coco-background_coco_bg_01532_0064703_coco_bg_01532.jpg,3,0.3971,1,0,0,0
coco-background_coco_bg_01533_0064704_coco_bg_01533.jpg,14,0.3627,1,0,0,0
coco-background_coco_bg_01534_0064705_coco_bg_01534.jpg,2,0.4277,1,1,0,0
coco-background_coco_bg_01550_0064721_coco_bg_01550.jpg,16,0.0615,0,0,0,0
coco-background_coco_bg_01553_0064724_coco_bg_01553.jpg,1,0.6294,1,1,1,0
coco-background_coco_bg_01568_0064739_coco_bg_01568.jpg,73,0.2638,1,0,0,0
coco-background_coco_bg_01572_0064743_coco_bg_01572.jpg,17,0.0881,0,0,0,0
coco-background_coco_bg_01579_0064750_coco_bg_01579.jpg,9,0.5357,1,1,1,0
coco-background_coco_bg_01584_0064755_coco_bg_01584.jpg,4,0.3403,1,0,0,0
coco-background_coco_bg_01591_0064762_coco_bg_01591.jpg,28,0.5194,1,1,1,0
coco-background_coco_bg_01595_0064766_coco_bg_01595.jpg,19,0.5206,1,1,1,0
coco-background_coco_bg_01607_0064778_coco_bg_01607.jpg,2,0.0493,0,0,0,0
coco-background_coco_bg_01613_0064784_coco_bg_01613.jpg,27,0.0546,0,0,0,0
coco-background_coco_bg_01615_0064786_coco_bg_01615.jpg,12,0.5718,1,1,1,0
coco-background_coco_bg_01626_0064797_coco_bg_01626.jpg,16,0.2607,1,0,0,0
coco-background_coco_bg_01649_0064820_coco_bg_01649.jpg,13,0.0937,0,0,0,0
coco-background_coco_bg_01655_0064826_coco_bg_01655.jpg,26,0.5437,1,1,1,0
coco-background_coco_bg_01667_0064838_coco_bg_01667.jpg,6,0.5601,1,1,1,0
coco-background_coco_bg_01679_0064850_coco_bg_01679.jpg,10,0.0629,0,0,0,0
coco-background_coco_bg_01692_0064863_coco_bg_01692.jpg,3,0.1074,0,0,0,0
coco-background_coco_bg_01693_0064864_coco_bg_01693.jpg,12,0.5319,1,1,1,0
coco-background_coco_bg_01708_0064879_coco_bg_01708.jpg,11,0.3348,1,0,0,0
coco-background_coco_bg_01709_0064880_coco_bg_01709.jpg,11,0.2696,1,0,0,0
coco-background_coco_bg_01714_0064885_coco_bg_01714.jpg,11,0.1203,0,0,0,0
coco-background_coco_bg_01717_0064888_coco_bg_01717.jpg,28,0.5623,1,1,1,0
coco-background_coco_bg_01719_0064890_coco_bg_01719.jpg,7,0.3827,1,0,0,0
coco-background_coco_bg_01720_0064891_coco_bg_01720.jpg,10,0.6622,1,1,1,0
coco-background_coco_bg_01723_0064894_coco_bg_01723.jpg,8,0.0521,0,0,0,0
coco-background_coco_bg_01725_0064896_coco_bg_01725.jpg,9,0.4571,1,1,0,0
coco-background_coco_bg_01726_0064897_coco_bg_01726.jpg,8,0.1804,0,0,0,0
coco-background_coco_bg_01740_0064911_coco_bg_01740.jpg,22,0.2206,0,0,0,0
coco-background_coco_bg_01744_0064915_coco_bg_01744.jpg,22,0.225,0,0,0,0
coco-background_coco_bg_01751_0064922_coco_bg_01751.jpg,7,0.1238,0,0,0,0
coco-background_coco_bg_01752_0064923_coco_bg_01752.jpg,46,0.2784,1,0,0,0
coco-background_coco_bg_01759_0064930_coco_bg_01759.jpg,6,0.8205,1,1,1,1
coco-background_coco_bg_01767_0064938_coco_bg_01767.jpg,18,0.3082,1,0,0,0
coco-background_coco_bg_01774_0064945_coco_bg_01774.jpg,11,0.1084,0,0,0,0
coco-background_coco_bg_01787_0064958_coco_bg_01787.jpg,9,0.4116,1,1,0,0
