img,n_boxes,max_conf,fp@0.25,fp@0.4,fp@0.5,fp@0.7
000000000285.jpg,3,0.3079,1,0,0,0
000000000632.jpg,7,0.0381,0,0,0,0
000000000724.jpg,4,0.0476,0,0,0,0
000000000776.jpg,1,0.0415,0,0,0,0
000000000785.jpg,3,0.2568,1,0,0,0
000000000802.jpg,11,0.5811,1,1,1,0
000000000872.jpg,3,0.5278,1,1,1,0
000000000885.jpg,2,0.2564,1,0,0,0
000000001000.jpg,1,0.0824,0,0,0,0
000000001268.jpg,1,0.0862,0,0,0,0
000000001296.jpg,0,0.0,0,0,0,0
000000001353.jpg,2,0.0246,0,0,0,0
000000001425.jpg,0,0.0,0,0,0,0
000000001490.jpg,0,0.0,0,0,0,0
000000001503.jpg,1,0.0161,0,0,0,0
000000001584.jpg,6,0.3491,1,0,0,0
000000001675.jpg,2,0.1474,0,0,0,0
000000001761.jpg,2,0.8537,1,1,1,1
000000001818.jpg,1,0.5576,1,1,1,0
000000001993.jpg,4,0.0709,0,0,0,0
000000002006.jpg,8,0.3201,1,0,0,0
000000002157.jpg,1,0.7271,1,1,1,1
000000002261.jpg,2,0.0209,0,0,0,0
000000002299.jpg,0,0.0,0,0,0,0
000000002431.jpg,2,0.0301,0,0,0,0
000000002473.jpg,1,0.5276,1,1,1,0
000000002532.jpg,1,0.177,0,0,0,0
000000002587.jpg,0,0.0,0,0,0,0
000000002592.jpg,5,0.5886,1,1,1,0
000000002923.jpg,4,0.5054,1,1,1,0
000000003156.jpg,0,0.0,0,0,0,0
000000003255.jpg,7,0.0685,0,0,0,0
000000003501.jpg,0,0.0,0,0,0,0
000000003553.jpg,2,0.0668,0,0,0,0
000000003934.jpg,2,0.0428,0,0,0,0
000000004134.jpg,0,0.0,0,0,0,0
000000004395.jpg,0,0.0,0,0,0,0
000000004495.jpg,3,0.1311,0,0,0,0
000000004795.jpg,0,0.0,0,0,0,0
000000005037.jpg,15,0.1886,0,0,0,0
000000005060.jpg,1,0.0522,0,0,0,0
000000005193.jpg,2,0.0196,0,0,0,0
000000005477.jpg,0,0.0,0,0,0,0
000000005503.jpg,1,0.0152,0,0,0,0
000000005586.jpg,3,0.147,0,0,0,0
000000005600.jpg,4,0.0358,0,0,0,0
000000006012.jpg,1,0.0711,0,0,0,0
000000006040.jpg,6,0.4602,1,1,0,0
000000006213.jpg,5,0.6712,1,1,1,0
000000006460.jpg,5,0.1917,0,0,0,0
000000006471.jpg,3,0.1522,0,0,0,0
000000006723.jpg,16,0.2355,0,0,0,0
000000006763.jpg,3,0.1084,0,0,0,0
000000006771.jpg,2,0.2862,1,0,0,0
000000006894.jpg,4,0.0268,0,0,0,0
000000006954.jpg,1,0.0146,0,0,0,0
000000007088.jpg,3,0.0836,0,0,0,0
000000007108.jpg,0,0.0,0,0,0,0
000000007278.jpg,1,0.4102,1,1,0,0
000000007281.jpg,4,0.1957,0,0,0,0
000000007386.jpg,7,0.3968,1,0,0,0
000000007574.jpg,8,0.1384,0,0,0,0
000000007784.jpg,2,0.1415,0,0,0,0
000000007795.jpg,14,0.4738,1,1,0,0
000000007816.jpg,2,0.3775,1,0,0,0
000000007818.jpg,5,0.6182,1,1,1,0
000000007888.jpg,1,0.0137,0,0,0,0
000000007991.jpg,2,0.0219,0,0,0,0
000000008277.jpg,2,0.0441,0,0,0,0
000000008532.jpg,4,0.2069,0,0,0,0
000000008629.jpg,1,0.0163,0,0,0,0
000000008690.jpg,0,0.0,0,0,0,0
000000008762.jpg,0,0.0,0,0,0,0
000000008844.jpg,4,0.1067,0,0,0,0
000000009378.jpg,1,0.0567,0,0,0,0
000000009400.jpg,1,0.6015,1,1,1,0
000000009448.jpg,2,0.1323,0,0,0,0
000000009483.jpg,4,0.0158,0,0,0,0
000000009769.jpg,2,0.6555,1,1,1,0
000000009772.jpg,15,0.5895,1,1,1,0
000000009891.jpg,1,0.4018,1,1,0,0
000000009914.jpg,9,0.1841,0,0,0,0
000000010092.jpg,2,0.1279,0,0,0,0
000000010363.jpg,3,0.4335,1,1,0,0
000000010583.jpg,6,0.2068,0,0,0,0
000000010707.jpg,1,0.0445,0,0,0,0
000000010977.jpg,5,0.2431,0,0,0,0
000000010995.jpg,1,0.6527,1,1,1,0
000000011051.jpg,2,0.1174,0,0,0,0
000000011149.jpg,7,0.1012,0,0,0,0
000000011197.jpg,13,0.2859,1,0,0,0
000000011511.jpg,5,0.0525,0,0,0,0
000000011615.jpg,2,0.7412,1,1,1,1
000000011760.jpg,14,0.7359,1,1,1,1
000000011813.jpg,4,0.1961,0,0,0,0
000000012062.jpg,1,0.0204,0,0,0,0
000000012120.jpg,1,0.0208,0,0,0,0
000000012280.jpg,10,0.4694,1,1,0,0
000000012576.jpg,1,0.085,0,0,0,0
000000012639.jpg,2,0.0513,0,0,0,0
000000012667.jpg,1,0.5196,1,1,1,0
000000012670.jpg,1,0.1898,0,0,0,0
000000012748.jpg,4,0.3528,1,0,0,0
000000013177.jpg,0,0.0,0,0,0,0
000000013201.jpg,1,0.0116,0,0,0,0
000000013291.jpg,3,0.6561,1,1,1,0
000000013546.jpg,7,0.1173,0,0,0,0
000000013597.jpg,1,0.0161,0,0,0,0
000000013659.jpg,4,0.0579,0,0,0,0
000000013729.jpg,1,0.0225,0,0,0,0
000000013774.jpg,2,0.4129,1,1,0,0
000000013923.jpg,12,0.2188,0,0,0,0
000000014007.jpg,1,0.0405,0,0,0,0
000000014038.jpg,11,0.0647,0,0,0,0
000000014226.jpg,0,0.0,0,0,0,0
000000014380.jpg,3,0.0412,0,0,0,0
000000014439.jpg,2,0.4083,1,1,0,0
000000014888.jpg,5,0.0984,0,0,0,0
000000015079.jpg,5,0.143,0,0,0,0
000000015254.jpg,0,0.0,0,0,0,0
000000015272.jpg,4,0.1851,0,0,0,0
000000015278.jpg,6,0.0493,0,0,0,0
000000015335.jpg,3,0.641,1,1,1,0
000000015338.jpg,4,0.075,0,0,0,0
000000015440.jpg,2,0.1014,0,0,0,0
000000015497.jpg,1,0.2573,1,0,0,0
000000015517.jpg,3,0.519,1,1,1,0
000000015597.jpg,2,0.0164,0,0,0,0
000000015660.jpg,1,0.178,0,0,0,0
000000015746.jpg,0,0.0,0,0,0,0
000000015751.jpg,1,0.1539,0,0,0,0
000000015956.jpg,8,0.3778,1,0,0,0
000000016010.jpg,6,0.1001,0,0,0,0
000000016228.jpg,1,0.6528,1,1,1,0
000000016249.jpg,5,0.2621,1,0,0,0
000000016439.jpg,7,0.6295,1,1,1,0
000000016451.jpg,5,0.085,0,0,0,0
000000016598.jpg,0,0.0,0,0,0,0
000000016958.jpg,7,0.4645,1,1,0,0
000000017029.jpg,6,0.799,1,1,1,1
000000017031.jpg,1,0.7733,1,1,1,1
000000017115.jpg,1,0.0262,0,0,0,0
000000017182.jpg,5,0.0423,0,0,0,0
000000017207.jpg,3,0.0193,0,0,0,0
000000017379.jpg,17,0.4267,1,1,0,0
000000017436.jpg,3,0.0868,0,0,0,0
000000017627.jpg,6,0.2234,0,0,0,0
000000017899.jpg,6,0.04,0,0,0,0
000000017905.jpg,0,0.0,0,0,0,0
000000017959.jpg,3,0.3202,1,0,0,0
000000018150.jpg,1,0.2891,1,0,0,0
000000018193.jpg,6,0.1635,0,0,0,0
000000018491.jpg,5,0.0996,0,0,0,0
000000018770.jpg,3,0.078,0,0,0,0
000000018833.jpg,3,0.0763,0,0,0,0
000000019042.jpg,2,0.0174,0,0,0,0
000000019221.jpg,2,0.0473,0,0,0,0
000000019402.jpg,1,0.245,0,0,0,0
000000019432.jpg,4,0.0329,0,0,0,0
000000019742.jpg,1,0.0273,0,0,0,0
000000019786.jpg,0,0.0,0,0,0,0
000000019924.jpg,1,0.8443,1,1,1,1
000000020059.jpg,3,0.0294,0,0,0,0
000000020107.jpg,0,0.0,0,0,0,0
000000020247.jpg,2,0.0541,0,0,0,0
000000020333.jpg,1,0.0184,0,0,0,0
000000020553.jpg,2,0.6707,1,1,1,0
000000020992.jpg,1,0.0229,0,0,0,0
000000021465.jpg,6,0.2295,0,0,0,0
000000021503.jpg,1,0.1336,0,0,0,0
000000021604.jpg,1,0.7045,1,1,1,1
000000021839.jpg,12,0.1969,0,0,0,0
000000021879.jpg,3,0.0323,0,0,0,0
000000021903.jpg,5,0.2164,0,0,0,0
