img,n_boxes,max_conf,fp@0.25,fp@0.4,fp@0.5,fp@0.7
000000000285.jpg,0,0.0,0,0,0,0
000000000632.jpg,6,0.59842,1,1,1,0
000000000724.jpg,0,0.0,0,0,0,0
000000000776.jpg,0,0.0,0,0,0,0
000000000785.jpg,0,0.0,0,0,0,0
000000000802.jpg,3,0.108377,0,0,0,0
000000000872.jpg,0,0.0,0,0,0,0
000000000885.jpg,0,0.0,0,0,0,0
000000001000.jpg,0,0.0,0,0,0,0
000000001268.jpg,0,0.0,0,0,0,0
000000001296.jpg,0,0.0,0,0,0,0
000000001353.jpg,0,0.0,0,0,0,0
000000001425.jpg,0,0.0,0,0,0,0
000000001490.jpg,0,0.0,0,0,0,0
000000001503.jpg,0,0.0,0,0,0,0
000000001584.jpg,5,0.526744,1,1,1,0
000000001675.jpg,2,0.07123,0,0,0,0
000000001761.jpg,2,0.853496,1,1,1,1
000000001818.jpg,0,0.0,0,0,0,0
000000001993.jpg,0,0.0,0,0,0,0
000000002006.jpg,1,0.068865,0,0,0,0
000000002157.jpg,0,0.0,0,0,0,0
000000002261.jpg,0,0.0,0,0,0,0
000000002299.jpg,0,0.0,0,0,0,0
000000002431.jpg,0,0.0,0,0,0,0
000000002473.jpg,2,0.24606,0,0,0,0
000000002532.jpg,0,0.0,0,0,0,0
000000002587.jpg,1,0.114219,0,0,0,0
000000002592.jpg,1,0.526018,1,1,1,0
000000002923.jpg,4,0.602002,1,1,1,0
000000003156.jpg,1,0.059844,0,0,0,0
000000003255.jpg,1,0.066437,0,0,0,0
000000003501.jpg,0,0.0,0,0,0,0
000000003553.jpg,0,0.0,0,0,0,0
000000003934.jpg,2,0.077074,0,0,0,0
000000004134.jpg,0,0.0,0,0,0,0
000000004395.jpg,0,0.0,0,0,0,0
000000004495.jpg,1,0.106603,0,0,0,0
000000004795.jpg,0,0.0,0,0,0,0
000000005037.jpg,1,0.196544,0,0,0,0
000000005060.jpg,0,0.0,0,0,0,0
000000005193.jpg,0,0.0,0,0,0,0
000000005477.jpg,0,0.0,0,0,0,0
000000005503.jpg,1,0.119092,0,0,0,0
000000005586.jpg,1,0.139076,0,0,0,0
000000005600.jpg,0,0.0,0,0,0,0
000000006012.jpg,0,0.0,0,0,0,0
000000006040.jpg,6,0.704022,1,1,1,1
000000006213.jpg,1,0.454022,1,1,0,0
000000006460.jpg,5,0.328436,1,0,0,0
000000006471.jpg,1,0.063157,0,0,0,0
000000006723.jpg,0,0.0,0,0,0,0
