img,n_boxes,max_conf,fp@0.25,fp@0.4,fp@0.5,fp@0.7
000000000285.jpg,10,0.346723,1,0,0,0
000000000632.jpg,14,0.512996,1,1,1,0
000000000724.jpg,1,0.153142,0,0,0,0
000000000776.jpg,1,0.051062,0,0,0,0
000000000785.jpg,4,0.602496,1,1,1,0
000000000802.jpg,18,0.619583,1,1,1,0
000000000872.jpg,3,0.509977,1,1,1,0
000000000885.jpg,2,0.471511,1,1,0,0
000000001000.jpg,4,0.165145,0,0,0,0
000000001268.jpg,2,0.541789,1,1,1,0
000000001296.jpg,1,0.084575,0,0,0,0
000000001353.jpg,6,0.274799,1,0,0,0
000000001425.jpg,2,0.069501,0,0,0,0
000000001490.jpg,1,0.218669,0,0,0,0
000000001503.jpg,0,0.0,0,0,0,0
000000001584.jpg,1,0.57036,1,1,1,0
000000001675.jpg,2,0.07883,0,0,0,0
000000001761.jpg,2,0.865304,1,1,1,1
000000001818.jpg,2,0.082826,0,0,0,0
000000001993.jpg,6,0.548067,1,1,1,0
000000002006.jpg,6,0.474714,1,1,0,0
000000002157.jpg,1,0.22175,0,0,0,0
000000002261.jpg,5,0.167958,0,0,0,0
000000002299.jpg,6,0.152669,0,0,0,0
000000002431.jpg,5,0.416907,1,1,0,0
000000002473.jpg,1,0.081157,0,0,0,0
000000002532.jpg,5,0.438676,1,1,0,0
000000002587.jpg,2,0.09448,0,0,0,0
000000002592.jpg,4,0.387334,1,0,0,0
000000002923.jpg,3,0.642736,1,1,1,0
000000003156.jpg,3,0.203399,0,0,0,0
000000003255.jpg,1,0.052496,0,0,0,0
000000003501.jpg,3,0.070819,0,0,0,0
000000003553.jpg,1,0.201847,0,0,0,0
000000003934.jpg,5,0.201899,0,0,0,0
000000004134.jpg,0,0.0,0,0,0,0
000000004395.jpg,0,0.0,0,0,0,0
000000004495.jpg,2,0.307874,1,0,0,0
000000004795.jpg,1,0.05156,0,0,0,0
000000005037.jpg,1,0.130465,0,0,0,0
000000005060.jpg,3,0.283336,1,0,0,0
000000005193.jpg,2,0.142345,0,0,0,0
000000005477.jpg,6,0.221207,0,0,0,0
000000005503.jpg,1,0.071034,0,0,0,0
000000005586.jpg,2,0.216377,0,0,0,0
000000005600.jpg,2,0.465266,1,1,0,0
000000006012.jpg,4,0.262213,1,0,0,0
000000006040.jpg,5,0.701526,1,1,1,1
000000006213.jpg,3,0.747687,1,1,1,1
000000006460.jpg,7,0.622782,1,1,1,0
000000006471.jpg,2,0.418544,1,1,0,0
000000006723.jpg,13,0.539081,1,1,1,0
000000006763.jpg,5,0.377599,1,0,0,0
000000006771.jpg,3,0.289954,1,0,0,0
000000006894.jpg,3,0.632684,1,1,1,0
000000006954.jpg,7,0.212603,0,0,0,0
000000007088.jpg,3,0.240263,0,0,0,0
000000007108.jpg,1,0.104975,0,0,0,0
000000007278.jpg,3,0.537417,1,1,1,0
000000007281.jpg,5,0.227252,0,0,0,0
000000007386.jpg,3,0.60755,1,1,1,0
000000007574.jpg,13,0.388006,1,0,0,0
000000007784.jpg,1,0.779684,1,1,1,1
000000007795.jpg,15,0.500332,1,1,1,0
000000007816.jpg,4,0.675885,1,1,1,0
000000007818.jpg,4,0.524207,1,1,1,0
000000007888.jpg,2,0.215846,0,0,0,0
000000007991.jpg,3,0.234848,0,0,0,0
000000008277.jpg,6,0.554687,1,1,1,0
000000008532.jpg,3,0.395506,1,0,0,0
000000008629.jpg,2,0.314928,1,0,0,0
000000008690.jpg,5,0.316435,1,0,0,0
000000008762.jpg,3,0.260744,1,0,0,0
000000008844.jpg,2,0.332886,1,0,0,0
000000009378.jpg,4,0.326678,1,0,0,0
000000009400.jpg,1,0.52279,1,1,1,0
000000009448.jpg,3,0.376265,1,0,0,0
000000009483.jpg,3,0.469884,1,1,0,0
000000009769.jpg,1,0.58432,1,1,1,0
000000009772.jpg,8,0.562871,1,1,1,0
000000009891.jpg,4,0.784783,1,1,1,1
000000009914.jpg,4,0.114369,0,0,0,0
000000010092.jpg,6,0.548707,1,1,1,0
000000010363.jpg,4,0.415201,1,1,0,0
000000010583.jpg,6,0.380761,1,0,0,0
000000010707.jpg,2,0.145184,0,0,0,0
000000010977.jpg,3,0.487789,1,1,0,0
000000010995.jpg,4,0.585687,1,1,1,0
000000011051.jpg,1,0.123289,0,0,0,0
000000011149.jpg,6,0.188728,0,0,0,0
000000011197.jpg,20,0.544162,1,1,1,0
