policy,P,R,F1,FP,FN
video-only,0.125,0.027,0.044,21,108
audio-only,0.977,0.766,0.859,2,26
late 0.5/0.5,0.737,0.126,0.215,5,97
late 0.5/0.5+Δ,0.75,0.027,0.052,1,108
late w_v=0.7,0.16,0.036,0.059,21,107
late w_v=0.9,0.125,0.027,0.044,21,108
entropy λ=1,0.737,0.126,0.215,5,97
entropy λ=2,0.737,0.126,0.215,5,97
consensus,0.787,0.766,0.776,23,26
audio-only+k=1,0.977,0.766,0.859,2,26
late 0.5/0.5+k=1,0.737,0.126,0.215,5,97
audio-only+causal median-5 (поток),0.989,0.847,0.913,1,17
late 0.5/0.5+causal median-5 (поток),0.722,0.117,0.202,5,98
"audio-only+centered median-5 (ОФЛАЙН, видит будущее)",1.0,0.856,0.922,0,16
"late 0.5/0.5+centered median-5 (ОФЛАЙН, видит будущее)",0.75,0.135,0.229,5,96
audio-only+causal median-7 (поток),0.979,0.838,0.903,2,18
late 0.5/0.5+causal median-7 (поток),0.889,0.144,0.248,2,95
"audio-only+centered median-7 (ОФЛАЙН, видит будущее)",1.0,0.856,0.922,0,16
"late 0.5/0.5+centered median-7 (ОФЛАЙН, видит будущее)",0.765,0.117,0.203,4,98
