policy,P,R,F1,FP,FN
video-only,0.761,0.946,0.843,33,6
audio-only,0.977,0.766,0.859,2,26
late 0.5/0.5,0.938,0.955,0.946,7,5
late 0.5/0.5+Δ,0.946,0.784,0.857,5,24
late w_v=0.7,0.764,0.964,0.853,33,4
late w_v=0.9,0.761,0.946,0.843,33,6
entropy λ=1,0.938,0.955,0.946,7,5
entropy λ=2,0.938,0.955,0.946,7,5
consensus,0.768,0.982,0.862,33,2
audio-only+k=1,0.977,0.766,0.859,2,26
late 0.5/0.5+k=1,0.938,0.955,0.946,7,5
audio-only+causal median-5 (поток),0.989,0.847,0.913,1,17
late 0.5/0.5+causal median-5 (поток),0.929,0.946,0.938,8,6
"audio-only+centered median-5 (ОФЛАЙН, видит будущее)",1.0,0.856,0.922,0,16
"late 0.5/0.5+centered median-5 (ОФЛАЙН, видит будущее)",0.947,0.964,0.955,6,4
audio-only+causal median-7 (поток),0.979,0.838,0.903,2,18
late 0.5/0.5+causal median-7 (поток),0.92,0.937,0.929,9,7
"audio-only+centered median-7 (ОФЛАЙН, видит будущее)",1.0,0.856,0.922,0,16
"late 0.5/0.5+centered median-7 (ОФЛАЙН, видит будущее)",0.947,0.964,0.955,6,4
