policy,P,R,F1,FP,FN
video-only,0.792,0.856,0.823,25,16
audio-only,0.977,0.766,0.859,2,26
late 0.5/0.5,0.972,0.937,0.954,3,7
late 0.5/0.5+Δ,0.987,0.694,0.815,1,34
late w_v=0.7,0.819,0.937,0.874,23,7
late w_v=0.9,0.802,0.91,0.852,25,10
entropy λ=1,0.972,0.937,0.954,3,7
entropy λ=2,0.972,0.937,0.954,3,7
consensus,0.797,0.955,0.869,27,5
audio-only+k=1,0.977,0.766,0.859,2,26
late 0.5/0.5+k=1,0.972,0.937,0.954,3,7
audio-only+causal median-5 (поток),0.989,0.847,0.913,1,17
late 0.5/0.5+causal median-5 (поток),0.981,0.955,0.968,2,5
"audio-only+centered median-5 (ОФЛАЙН, видит будущее)",1.0,0.856,0.922,0,16
"late 0.5/0.5+centered median-5 (ОФЛАЙН, видит будущее)",1.0,0.982,0.991,0,2
audio-only+causal median-7 (поток),0.979,0.838,0.903,2,18
late 0.5/0.5+causal median-7 (поток),0.972,0.955,0.964,3,5
"audio-only+centered median-7 (ОФЛАЙН, видит будущее)",1.0,0.856,0.922,0,16
"late 0.5/0.5+centered median-7 (ОФЛАЙН, видит будущее)",0.991,0.982,0.986,1,2
