policy,P,R,F1,FP,FN
video-only,0.771,1.0,0.871,33,0
audio-only,0.977,0.766,0.859,2,26
late 0.5/0.5,0.977,0.766,0.859,2,26
late 0.5/0.5+Δ,0.977,0.766,0.859,2,26
late w_v=0.7,0.754,0.856,0.802,31,16
late w_v=0.9,0.771,1.0,0.871,33,0
entropy λ=1,0.977,0.766,0.859,2,26
entropy λ=2,0.977,0.766,0.859,2,26
consensus,0.771,1.0,0.871,33,0
audio-only+median3,0.978,0.82,0.892,2,20
late 0.5/0.5+median3,0.978,0.82,0.892,2,20
audio-only+median5,1.0,0.856,0.922,0,16
late 0.5/0.5+median5,1.0,0.856,0.922,0,16
audio-only+median7,1.0,0.856,0.922,0,16
late 0.5/0.5+median7,1.0,0.856,0.922,0,16
