w,gate,policy,P,R,F1,fp,fn,n_delayed,delay_med,delay_max
old,0.25,D0 late τ0.5,0.932,0.991,0.961,8,1,1,0.0,0.0
old,0.25,D1 late τ0.45,0.799,1.0,0.888,28,0,1,0.0,0.0
old,0.25,D2 late τ0.40,0.771,1.0,0.871,33,0,1,0.0,0.0
old,0.25,"D3 max(pv,pa)≥0.5",0.771,1.0,0.871,33,0,1,0.0,0.0
old,0.25,D4 pv≥0.4 | pa≥0.6,0.771,1.0,0.871,33,0,1,0.0,0.0
old,0.25,D5 med3+D0,0.932,0.991,0.961,8,1,1,0.0,0.0
old,0.4,D0 late τ0.5,0.932,0.991,0.961,8,1,1,0.0,0.0
old,0.4,D1 late τ0.45,0.799,1.0,0.888,28,0,1,0.0,0.0
old,0.4,D2 late τ0.40,0.771,1.0,0.871,33,0,1,0.0,0.0
old,0.4,"D3 max(pv,pa)≥0.5",0.771,1.0,0.871,33,0,1,0.0,0.0
old,0.4,D4 pv≥0.4 | pa≥0.6,0.771,1.0,0.871,33,0,1,0.0,0.0
old,0.4,D5 med3+D0,0.932,0.991,0.961,8,1,1,0.0,0.0
new,0.25,D0 late τ0.5,0.938,0.955,0.946,7,5,1,0.5,0.5
new,0.25,D1 late τ0.45,0.858,0.982,0.916,18,2,1,0.0,0.0
new,0.25,D2 late τ0.40,0.771,1.0,0.871,33,0,1,0.0,0.0
new,0.25,"D3 max(pv,pa)≥0.5",0.768,0.982,0.862,33,2,1,0.0,0.0
new,0.25,D4 pv≥0.4 | pa≥0.6,0.771,1.0,0.871,33,0,1,0.0,0.0
new,0.25,D5 med3+D0,0.93,0.955,0.942,8,5,1,0.0,0.0
new,0.4,D0 late τ0.5,0.938,0.955,0.946,7,5,1,0.5,0.5
new,0.4,D1 late τ0.45,0.858,0.982,0.916,18,2,1,0.0,0.0
new,0.4,D2 late τ0.40,0.771,1.0,0.871,33,0,1,0.0,0.0
new,0.4,"D3 max(pv,pa)≥0.5",0.768,0.982,0.862,33,2,1,0.0,0.0
new,0.4,D4 pv≥0.4 | pa≥0.6,0.771,1.0,0.871,33,0,1,0.0,0.0
new,0.4,D5 med3+D0,0.93,0.955,0.942,8,5,1,0.0,0.0
