domain,rule,tau,flight,farnear,fp,n,P,R,F1,fn
mmaud,AND,0.35,0.9713,0.9422,,5018,,,,
mmaud,AND,0.4,0.947,0.8928,,5018,,,,
mmaud,AND,0.45,0.9018,0.8065,,5018,,,,
mmaud,AND,0.5,0.8268,0.6682,,5018,,,,
mmaud,OR,0.35,0.9998,0.9996,,5018,,,,
mmaud,OR,0.4,0.9984,0.9974,,5018,,,,
mmaud,OR,0.45,0.991,0.9834,,5018,,,,
mmaud,OR,0.5,0.9617,0.9239,,5018,,,,
bg400,AND,0.35,,,0.0925,400,,,,
bg400,AND,0.4,,,0.0725,400,,,,
bg400,AND,0.45,,,0.06,400,,,,
bg400,AND,0.5,,,0.0525,400,,,,
bg400,OR,0.35,,,0.4975,400,,,,
bg400,OR,0.4,,,0.4275,400,,,,
bg400,OR,0.45,,,0.36,400,,,,
bg400,OR,0.5,,,0.2875,400,,,,
contour,old,,,,8,,0.932,0.991,0.961,1
contour,new,,,,7,,0.938,0.955,0.946,5
contour,AND-ряд,,,,7,,0.938,0.946,0.942,6
