p,tau,rec_flight,fp_pct,rec_far
-8.0,0.30,0.991431,0.130000,0.982561
-8.0,0.35,0.980670,0.100000,0.960017
-8.0,0.40,0.961937,0.075000,0.923011
-8.0,0.45,0.932244,0.065000,0.863462
-8.0,0.50,0.869470,0.052500,0.745215
-4.0,0.30,0.993224,0.132500,0.986389
-4.0,0.35,0.985652,0.107500,0.970651
-4.0,0.40,0.968912,0.087500,0.937899
-4.0,0.45,0.939817,0.067500,0.878775
-4.0,0.50,0.879235,0.055000,0.762229
-2.0,0.30,0.994819,0.140000,0.989366
-2.0,0.35,0.990434,0.120000,0.980859
-2.0,0.40,0.974492,0.097500,0.948533
-2.0,0.45,0.946194,0.067500,0.891536
-2.0,0.50,0.887206,0.055000,0.778392
-1.0,0.30,0.996811,0.145000,0.993620
-1.0,0.35,0.991829,0.127500,0.983411
-1.0,0.40,0.979275,0.105000,0.958316
-1.0,0.45,0.950976,0.067500,0.900893
-1.0,0.50,0.889797,0.055000,0.783496
-0.5,0.30,0.997210,0.152500,0.994470
-0.5,0.35,0.992228,0.130000,0.984262
-0.5,0.40,0.981467,0.107500,0.962994
-0.5,0.45,0.952770,0.070000,0.904296
-0.5,0.50,0.892188,0.055000,0.788601
0.25,0.30,0.998206,0.180000,0.996172
0.25,0.35,0.994221,0.140000,0.988516
0.25,0.40,0.984456,0.115000,0.969375
0.25,0.45,0.955560,0.077500,0.910251
0.25,0.50,0.897369,0.055000,0.797958
0.5,0.30,0.998605,0.197500,0.997023
0.5,0.35,0.994819,0.147500,0.989792
0.5,0.40,0.985253,0.117500,0.971076
0.5,0.45,0.957752,0.082500,0.914504
0.5,0.50,0.898964,0.057500,0.800936
1.0,0.30,0.999203,0.275000,0.998299
1.0,0.35,0.996413,0.202500,0.993194
1.0,0.40,0.987047,0.135000,0.974904
1.0,0.45,0.962136,0.090000,0.923437
1.0,0.50,0.903149,0.062500,0.809443
2.0,0.30,1.000000,0.417500,1.000000
2.0,0.35,0.998206,0.327500,0.997023
2.0,0.40,0.989637,0.242500,0.980434
2.0,0.45,0.968513,0.142500,0.936623
2.0,0.50,0.908131,0.102500,0.818801
4.0,0.30,1.000000,0.500000,1.000000
4.0,0.35,0.999004,0.417500,0.998299
4.0,0.40,0.993424,0.335000,0.988516
4.0,0.45,0.975090,0.247500,0.950659
4.0,0.50,0.916899,0.160000,0.835815
8.0,0.30,1.000000,0.537500,1.000000
8.0,0.35,0.999601,0.455000,0.999149
8.0,0.40,0.996612,0.375000,0.994470
8.0,0.45,0.981068,0.310000,0.962994
8.0,0.50,0.932443,0.220000,0.866014
-inf,0.30,0.986847,0.115000,0.973203
-inf,0.35,0.971303,0.092500,0.942152
-inf,0.40,0.946991,0.072500,0.892812
-inf,0.45,0.901754,0.060000,0.806465
-inf,0.50,0.826823,0.052500,0.668226
inf,0.30,1.000000,0.595000,1.000000
inf,0.35,0.999801,0.497500,0.999575
inf,0.40,0.998406,0.427500,0.997448
inf,0.45,0.991032,0.360000,0.983411
inf,0.50,0.961738,0.287500,0.923862
