ImageID,url,license,status,w,h,bird
8c2b6a7e0e6ea902,https://farm3.staticflickr.com/8307/7998502688_e1b379864c_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,3072,2304,0
1fc64a014f899fad,https://c6.staticflickr.com/2/1168/527338761_af0e30ee19_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,3504,2336,0
70921eefb1bf4f1a,https://c3.staticflickr.com/6/5533/10093135906_e196e309ff_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,1200,1600,0
7fd8145c82ce43c3,https://farm4.staticflickr.com/3181/2687377408_fea3988885_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,2750,1000,0
ec953f5cefc2fea4,https://farm5.staticflickr.com/6/5425544_333f85e88c_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,2048,1536,0
81b9f7c1e44ca16a,https://c3.staticflickr.com/9/8058/8204859712_fd74cdbfac_o.jpg,https://creativecommons.org/licenses/by/2.0/,small,1024,542,0
208f299f827441fb,https://c4.staticflickr.com/6/5479/10465607596_ba787608a4_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,1552,2592,0
c7e2d2f61fdd69fd,https://c6.staticflickr.com/9/8018/7587480296_4a1c4607c5_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,1944,2592,0
805d2f6bfb4f5cba,https://c3.staticflickr.com/4/3250/3119029309_99677016f8_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,2380,3176,0
ded2aed2cb185679,https://c2.staticflickr.com/8/7172/6486082563_6fded094e2_o.jpg,https://creativecommons.org/licenses/by/2.0/,small,1000,656,0
fad127f9fa3316ba,https://c3.staticflickr.com/1/12/69718263_4189a56726_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,768,1024,0
1d5f3d366ce8193c,https://c5.staticflickr.com/8/7180/6967890163_f7c4daf1a1_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,3456,2592,0
fa20b1d3613f6403,https://farm4.staticflickr.com/5644/22095831695_0e65f69655_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,5814,3439,0
579c6faafbaa925c,https://c5.staticflickr.com/5/4011/4379438025_831ab3f2cc_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,2816,2112,0
5879df830691ccc2,https://farm3.staticflickr.com/8342/8195218971_784571b9f7_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,4928,3264,0
b36792dd29140f06,https://farm7.staticflickr.com/2906/14250964748_953d809b9c_o.jpg,https://creativecommons.org/licenses/by/2.0/,small,316,477,1
3566f7af209f2c8f,https://c8.staticflickr.com/6/5023/5650756169_c6473dbe96_o.jpg,https://creativecommons.org/licenses/by/2.0/,small,800,519,0
f90ead55fbc3327d,https://c6.staticflickr.com/5/4016/4606482388_881468ffc1_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,1212,1720,0
cc413a5d89c5d8e6,https://farm7.staticflickr.com/1086/1268965315_f65ae69248_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,1536,2048,0
1e262476034c7766,https://farm7.staticflickr.com/7406/9145395283_1d3058a005_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,5184,3456,0
0d1a073b2c455b1d,https://c6.staticflickr.com/4/3482/3817292932_4d5582e006_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,768,1024,0
0958b13d06fce47e,https://c7.staticflickr.com/4/3076/3169484185_9daccb5c72_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,3264,2448,0
7d836745544db140,https://farm1.staticflickr.com/2477/3686229162_f86f84aef6_o.jpg,https://creativecommons.org/licenses/by/2.0/,small,1024,606,0
9c39c599bf88abd9,https://c2.staticflickr.com/4/3050/2901140000_3da0f8b469_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,1536,2048,0
efcf1c17328e32ec,https://c5.staticflickr.com/1/26/49940989_f70da3f943_o.jpg,https://creativecommons.org/licenses/by/2.0/,small,800,600,0
4f75c3917514e21e,https://c7.staticflickr.com/3/2633/3846373577_1051ed2151_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,1024,768,0
472a1a286fa6e9d0,https://farm1.staticflickr.com/2777/4142231772_8accbcb874_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,2644,3966,0
1b7fae3b7e77482a,https://c3.staticflickr.com/4/3039/3018306107_51f8da54b3_o.jpg,https://creativecommons.org/licenses/by/2.0/,small,540,540,0
b72004ab9b617013,https://farm4.staticflickr.com/3628/3512154963_59e9f6c079_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,2448,3264,0
ec56339b8da581b4,https://farm5.staticflickr.com/7063/6897231687_6243bfa749_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,2400,2400,0
b7db52af5d784cb3,https://farm4.staticflickr.com/40/93935380_fa764e9caa_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,3072,2048,0
3a41eb035c8a893b,https://c4.staticflickr.com/6/5064/5786468447_c974b47792_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,6048,4032,0
d17462047f8a6dd0,https://farm1.staticflickr.com/3817/20100005276_775b633228_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,4000,3000,0
37da985a8722e8b3,https://farm4.staticflickr.com/7038/6857650607_10c3c955ed_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,1600,1200,0
eada86bb7ee98792,https://farm3.staticflickr.com/3830/9796955086_004b44e2fd_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,4468,2984,0
13b6289aef7a24b7,https://farm8.staticflickr.com/133/402761147_c2143d9a00_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,1280,960,0
aa4dc2550e3517ea,https://c3.staticflickr.com/4/3373/3620784442_b9f629fb9e_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,2592,1944,0
b55ff3bd0805c9de,https://c7.staticflickr.com/4/3864/14302980240_9d9d939e6d_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,4608,3456,0
f3e3fef94e3af0f8,https://c1.staticflickr.com/2/1044/1177214631_6c899adad1_o.jpg,https://creativecommons.org/licenses/by/2.0/,small,1024,665,0
904ec7162c3b4281,https://farm2.staticflickr.com/5472/14443120689_0885b688bd_o.jpg,https://creativecommons.org/licenses/by/2.0/,small,300,300,0
4bf3c53fa37915db,https://c4.staticflickr.com/8/7527/15355433553_a3d2b7b450_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,2201,2022,0
4ac0687764ff6b0e,https://c7.staticflickr.com/4/3164/2873484780_d9dc2f547f_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,4288,2848,0
e23c0361ed8134d4,https://farm5.staticflickr.com/2241/5794095026_11f3cc1ddd_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,2848,4288,0
8272c6a561d307a9,https://c2.staticflickr.com/1/188/434017882_0e3ecc3a7b_o.jpg,https://creativecommons.org/licenses/by/2.0/,small,1024,681,0
e84bb645083601b0,https://farm1.staticflickr.com/61/186021581_1e5929cf8f_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,2592,1944,0
f20dbcd07c475ed4,https://farm5.staticflickr.com/3832/9617156897_a92e9294b1_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,3180,3120,0
503d57029de0f6ce,https://c7.staticflickr.com/8/7204/6942628121_214b271962_o.jpg,https://creativecommons.org/licenses/by/2.0/,accepted,1600,1200,0
a7b908a54f5bb41c,https://c5.staticflickr.com/3/2111/2206893108_5a8f2f9b43_o.jpg,https://creativecommons.org/licenses/by/2.0/,small,1024,683,0
