img,n_boxes,max_conf,fp@0.25,fp@0.4,fp@0.5,fp@0.7
005bd647ca0ac947.jpg,6,0.648741,1,1,1,0
006c8ac9b5e6906a.jpg,8,0.258379,1,0,0,0
01a2b161a5937ac0.jpg,22,0.645996,1,1,1,0
01f5efed4dfda77e.jpg,11,0.252424,1,0,0,0
02b2ab24e7e709cf.jpg,10,0.338325,1,0,0,0
034530143f388715.jpg,7,0.527338,1,1,1,0
04052a2470d09108.jpg,7,0.523619,1,1,1,0
0544f3c78a580ff4.jpg,11,0.420873,1,1,0,0
06d1d39cbea07874.jpg,22,0.525479,1,1,1,0
06d70ecda37db5e3.jpg,4,0.573964,1,1,1,0
078a836c2a6c0d7a.jpg,1,0.075087,0,0,0,0
07e132007696f157.jpg,75,0.7317,1,1,1,1
07e304a0ba61ce5c.jpg,34,0.815244,1,1,1,1
08877441bb91eceb.jpg,0,0.0,0,0,0,0
0958b13d06fce47e.jpg,10,0.618371,1,1,1,0
09ef2f433829bb03.jpg,16,0.506201,1,1,1,0
0a23d3f0e7d850f4.jpg,10,0.656435,1,1,1,0
0b6b92ee7daf2c5c.jpg,50,0.450107,1,1,0,0
0be9c11f16cf1fbe.jpg,63,0.73108,1,1,1,1
0c82bfd1f18ed1ea.jpg,22,0.421109,1,1,0,0
0d09c567cfd03b28.jpg,13,0.553387,1,1,1,0
0d1a073b2c455b1d.jpg,5,0.480039,1,1,0,0
0d2e090e9b025ddc.jpg,6,0.180011,0,0,0,0
0d39d3a30a430a74.jpg,1,0.053074,0,0,0,0
0d73caebb7a63351.jpg,4,0.369575,1,0,0,0
0dc6c490b2941ff8.jpg,4,0.125132,0,0,0,0
0e3ed3d9a681cd0f.jpg,22,0.451756,1,1,0,0
0ea657df47f0dcbb.jpg,3,0.084291,0,0,0,0
0fa11f7260ffa67e.jpg,3,0.524143,1,1,1,0
103156b19827a5fc.jpg,6,0.728574,1,1,1,1
10517249ac232c8f.jpg,12,0.622028,1,1,1,0
138171babca75da4.jpg,8,0.307283,1,0,0,0
13b6289aef7a24b7.jpg,1,0.055609,0,0,0,0
1420e78038f82919.jpg,6,0.106673,0,0,0,0
14859252196fd7a6.jpg,8,0.251839,1,0,0,0
15e838aba2dccc8b.jpg,0,0.0,0,0,0,0
1655ed7fefd46b13.jpg,11,0.432443,1,1,0,0
1876ff97a1af1590.jpg,0,0.0,0,0,0,0
18f71db2bd75ac5b.jpg,24,0.264202,1,0,0,0
1a0ef4b7b43fd5ee.jpg,13,0.274062,1,0,0,0
1b93c5c119ca13a2.jpg,3,0.144201,0,0,0,0
1c27e643d5bd43bb.jpg,21,0.869847,1,1,1,1
1c744a56b31d0d1f.jpg,2,0.158006,0,0,0,0
1c92fdf4ef1959ef.jpg,2,0.13835,0,0,0,0
1d5f3d366ce8193c.jpg,23,0.682306,1,1,1,0
1dec8b9aacf770e2.jpg,3,0.192879,0,0,0,0
1dfc8694ca27bf06.jpg,67,0.616642,1,1,1,0
1e262476034c7766.jpg,20,0.570688,1,1,1,0
1e34f92f5ea27d83.jpg,60,0.581812,1,1,1,0
1eb23c0cbf0c2ca3.jpg,9,0.501155,1,1,1,0
1ecc0db941d92657.jpg,7,0.610068,1,1,1,0
1f033af8fc7682e6.jpg,8,0.663402,1,1,1,0
1f16c49c14b01b90.jpg,13,0.628996,1,1,1,0
1fc64a014f899fad.jpg,17,0.469981,1,1,0,0
1fcd36aa10ce8cae.jpg,18,0.539329,1,1,1,0
2035d3a7a1b7fc04.jpg,3,0.664086,1,1,1,0
2045a7efb3ad6815.jpg,16,0.257709,1,0,0,0
207d09af2f583c31.jpg,1,0.05705,0,0,0,0
208f299f827441fb.jpg,24,0.593103,1,1,1,0
214a4b9be6fdd6c2.jpg,2,0.12955,0,0,0,0
23b73886e375fa7e.jpg,6,0.406925,1,1,0,0
23be40c20d455375.jpg,11,0.508248,1,1,1,0
23deeb38b5097d22.jpg,8,0.139566,0,0,0,0
24443a13d8f6e54a.jpg,6,0.138336,0,0,0,0
249f174ee917ab1d.jpg,134,0.799687,1,1,1,1
26a220dc46e5e56c.jpg,12,0.734612,1,1,1,1
26cb20487cbc008d.jpg,2,0.696865,1,1,1,0
277f8ab65ddf8eaf.jpg,5,0.302073,1,0,0,0
27e86eb4b2f3bf36.jpg,6,0.436986,1,1,0,0
28890a2a249c691f.jpg,47,0.598718,1,1,1,0
28e06ba3283aaa84.jpg,1,0.099918,0,0,0,0
295cd15033557db1.jpg,2,0.098619,0,0,0,0
2970bc6a7c676411.jpg,21,0.746004,1,1,1,1
29876b10d52f8688.jpg,10,0.26878,1,0,0,0
29b8e3d231d54fda.jpg,0,0.0,0,0,0,0
29d45f14be74e4b3.jpg,8,0.577364,1,1,1,0
2b9aa08dc84d0a44.jpg,23,0.397043,1,0,0,0
2ced55c7bd8c5496.jpg,12,0.624661,1,1,1,0
2d3bf81d68393650.jpg,12,0.508002,1,1,1,0
2e785b26c20e7e3a.jpg,5,0.139128,0,0,0,0
2f543d5d26428d83.jpg,12,0.851505,1,1,1,1
2fe48e05a4c0a96d.jpg,0,0.0,0,0,0,0
305ab592c38768fa.jpg,14,0.573491,1,1,1,0
3067441dbc504455.jpg,1,0.075026,0,0,0,0
3151bc45702cdb5c.jpg,9,0.548537,1,1,1,0
31c40da724ed3376.jpg,11,0.208666,0,0,0,0
32302667a4478697.jpg,2,0.489889,1,1,0,0
3235b02ee41cfb65.jpg,6,0.721362,1,1,1,1
33c41de3d8704fe8.jpg,14,0.503793,1,1,1,0
33d4f52120682147.jpg,1,0.144975,0,0,0,0
33e9c797aadc13ea.jpg,1,0.057741,0,0,0,0
3448c2cf64983058.jpg,6,0.201424,0,0,0,0
34b1464cf92b97f7.jpg,15,0.83383,1,1,1,1
34b8a976d36bbaea.jpg,12,0.662299,1,1,1,0
34c0400788f86675.jpg,16,0.863279,1,1,1,1
34d7b37c6b457040.jpg,36,0.733992,1,1,1,1
35f837b8efa90099.jpg,0,0.0,0,0,0,0
360e636ce1754acb.jpg,2,0.569754,1,1,1,0
36f08c7bb481ba25.jpg,6,0.21756,0,0,0,0
3708128cd8a52c9c.jpg,8,0.772775,1,1,1,1
37da985a8722e8b3.jpg,1,0.420185,1,1,0,0
38a18dda6a0e761f.jpg,40,0.866888,1,1,1,1
38dce42277f4ee23.jpg,15,0.5912,1,1,1,0
39e0f4086771cca5.jpg,13,0.337995,1,0,0,0
39ff14019dc16161.jpg,5,0.293469,1,0,0,0
3a41eb035c8a893b.jpg,62,0.7144,1,1,1,1
3aacc9df5fe80ec4.jpg,34,0.613771,1,1,1,0
3b9e3590b18a59db.jpg,9,0.581893,1,1,1,0
3f063c7a6c19b773.jpg,0,0.0,0,0,0,0
3f758fd3d94c729e.jpg,3,0.641852,1,1,1,0
3fec3b9feac65f6a.jpg,24,0.431369,1,1,0,0
4006b1a5e241c510.jpg,13,0.663567,1,1,1,0
41193892cae6a499.jpg,1,0.229259,0,0,0,0
4237bb524085fe80.jpg,1,0.050494,0,0,0,0
42e963e9a3b35f45.jpg,7,0.356943,1,0,0,0
433b2a82c5c804a1.jpg,11,0.248078,0,0,0,0
43a781c702c29667.jpg,11,0.331335,1,0,0,0
45063c6e8cc46408.jpg,17,0.182468,0,0,0,0
46451248f4622dee.jpg,8,0.309884,1,0,0,0
46c63f45262a8ac5.jpg,32,0.513641,1,1,1,0
46f0a6283ce0eae1.jpg,3,0.134619,0,0,0,0
472a1a286fa6e9d0.jpg,0,0.0,0,0,0,0
47e88023d529b327.jpg,5,0.717391,1,1,1,1
486259c7e00810d7.jpg,31,0.694891,1,1,1,0
49fe94c183f65ff0.jpg,12,0.475726,1,1,0,0
4a4dbed2e17bce1f.jpg,8,0.707931,1,1,1,1
4aafa0afe0e581d6.jpg,21,0.689038,1,1,1,0
4ac0687764ff6b0e.jpg,0,0.0,0,0,0,0
4aeff1c5aeecad60.jpg,21,0.684367,1,1,1,0
4b18034fafb73ccc.jpg,5,0.324819,1,0,0,0
4b61f8479a4631f6.jpg,13,0.630571,1,1,1,0
4b9ed4dcbe4c4faf.jpg,0,0.0,0,0,0,0
4bda19904e1caedd.jpg,0,0.0,0,0,0,0
4bf3c53fa37915db.jpg,9,0.248579,0,0,0,0
4c01e7ba0e29df8c.jpg,2,0.100586,0,0,0,0
