img,n_boxes,max_conf,fp@0.25,fp@0.4,fp@0.5,fp@0.7
005bd647ca0ac947.jpg,38,0.613499,1,1,1,0
006c8ac9b5e6906a.jpg,39,0.468662,1,1,0,0
01a2b161a5937ac0.jpg,24,0.611311,1,1,1,0
01f5efed4dfda77e.jpg,89,0.545777,1,1,1,0
02b2ab24e7e709cf.jpg,26,0.382408,1,0,0,0
034530143f388715.jpg,45,0.828858,1,1,1,1
04052a2470d09108.jpg,20,0.663287,1,1,1,0
0544f3c78a580ff4.jpg,28,0.605537,1,1,1,0
06d1d39cbea07874.jpg,89,0.587302,1,1,1,0
06d70ecda37db5e3.jpg,32,0.641208,1,1,1,0
078a836c2a6c0d7a.jpg,13,0.340509,1,0,0,0
07e132007696f157.jpg,283,0.794531,1,1,1,1
07e304a0ba61ce5c.jpg,102,0.715322,1,1,1,1
08877441bb91eceb.jpg,20,0.397979,1,0,0,0
0958b13d06fce47e.jpg,61,0.718009,1,1,1,1
09ef2f433829bb03.jpg,41,0.682901,1,1,1,0
0a23d3f0e7d850f4.jpg,16,0.640894,1,1,1,0
0b6b92ee7daf2c5c.jpg,56,0.701209,1,1,1,1
0be9c11f16cf1fbe.jpg,134,0.754134,1,1,1,1
0c82bfd1f18ed1ea.jpg,21,0.805219,1,1,1,1
0d09c567cfd03b28.jpg,45,0.740238,1,1,1,1
0d1a073b2c455b1d.jpg,10,0.712919,1,1,1,1
0d2e090e9b025ddc.jpg,2,0.063187,0,0,0,0
0d39d3a30a430a74.jpg,23,0.389055,1,0,0,0
0d73caebb7a63351.jpg,77,0.679747,1,1,1,0
0dc6c490b2941ff8.jpg,13,0.586935,1,1,1,0
0e3ed3d9a681cd0f.jpg,33,0.573383,1,1,1,0
0ea657df47f0dcbb.jpg,25,0.414772,1,1,0,0
0fa11f7260ffa67e.jpg,9,0.425856,1,1,0,0
103156b19827a5fc.jpg,11,0.440832,1,1,0,0
10517249ac232c8f.jpg,33,0.668111,1,1,1,0
138171babca75da4.jpg,41,0.734055,1,1,1,1
13b6289aef7a24b7.jpg,21,0.746958,1,1,1,1
1420e78038f82919.jpg,63,0.70125,1,1,1,1
14859252196fd7a6.jpg,96,0.657991,1,1,1,0
15e838aba2dccc8b.jpg,2,0.144666,0,0,0,0
1655ed7fefd46b13.jpg,81,0.627613,1,1,1,0
1876ff97a1af1590.jpg,11,0.421159,1,1,0,0
18f71db2bd75ac5b.jpg,72,0.679189,1,1,1,0
1a0ef4b7b43fd5ee.jpg,34,0.660496,1,1,1,0
1b93c5c119ca13a2.jpg,18,0.412362,1,1,0,0
1c27e643d5bd43bb.jpg,89,0.68835,1,1,1,0
1c744a56b31d0d1f.jpg,28,0.643017,1,1,1,0
1c92fdf4ef1959ef.jpg,36,0.757967,1,1,1,1
1d5f3d366ce8193c.jpg,85,0.637155,1,1,1,0
1dec8b9aacf770e2.jpg,29,0.480918,1,1,0,0
1dfc8694ca27bf06.jpg,159,0.778668,1,1,1,1
1e262476034c7766.jpg,107,0.741103,1,1,1,1
1e34f92f5ea27d83.jpg,322,0.76875,1,1,1,1
1eb23c0cbf0c2ca3.jpg,28,0.704219,1,1,1,1
1ecc0db941d92657.jpg,32,0.860647,1,1,1,1
1f033af8fc7682e6.jpg,37,0.572607,1,1,1,0
1f16c49c14b01b90.jpg,37,0.775163,1,1,1,1
1fc64a014f899fad.jpg,94,0.739961,1,1,1,1
1fcd36aa10ce8cae.jpg,33,0.572098,1,1,1,0
2035d3a7a1b7fc04.jpg,37,0.771767,1,1,1,1
2045a7efb3ad6815.jpg,30,0.550866,1,1,1,0
207d09af2f583c31.jpg,8,0.698463,1,1,1,0
208f299f827441fb.jpg,27,0.518853,1,1,1,0
214a4b9be6fdd6c2.jpg,5,0.191727,0,0,0,0
23b73886e375fa7e.jpg,35,0.418567,1,1,0,0
23be40c20d455375.jpg,63,0.731207,1,1,1,1
23deeb38b5097d22.jpg,27,0.575689,1,1,1,0
24443a13d8f6e54a.jpg,62,0.826805,1,1,1,1
249f174ee917ab1d.jpg,305,0.8079,1,1,1,1
26a220dc46e5e56c.jpg,62,0.738811,1,1,1,1
26cb20487cbc008d.jpg,1,0.765938,1,1,1,1
277f8ab65ddf8eaf.jpg,67,0.656039,1,1,1,0
27e86eb4b2f3bf36.jpg,15,0.555548,1,1,1,0
28890a2a249c691f.jpg,184,0.775317,1,1,1,1
28e06ba3283aaa84.jpg,10,0.375062,1,0,0,0
295cd15033557db1.jpg,10,0.512661,1,1,1,0
2970bc6a7c676411.jpg,20,0.787756,1,1,1,1
29876b10d52f8688.jpg,19,0.609646,1,1,1,0
29b8e3d231d54fda.jpg,2,0.102045,0,0,0,0
29d45f14be74e4b3.jpg,19,0.586084,1,1,1,0
2b9aa08dc84d0a44.jpg,64,0.761352,1,1,1,1
2ced55c7bd8c5496.jpg,18,0.546519,1,1,1,0
2d3bf81d68393650.jpg,53,0.638041,1,1,1,0
2e785b26c20e7e3a.jpg,8,0.57262,1,1,1,0
2f543d5d26428d83.jpg,10,0.841703,1,1,1,1
2fe48e05a4c0a96d.jpg,19,0.372492,1,0,0,0
305ab592c38768fa.jpg,51,0.589339,1,1,1,0
3067441dbc504455.jpg,5,0.237888,0,0,0,0
3151bc45702cdb5c.jpg,48,0.599742,1,1,1,0
31c40da724ed3376.jpg,81,0.634548,1,1,1,0
32302667a4478697.jpg,14,0.647593,1,1,1,0
3235b02ee41cfb65.jpg,34,0.610523,1,1,1,0
33c41de3d8704fe8.jpg,26,0.628917,1,1,1,0
33d4f52120682147.jpg,3,0.562516,1,1,1,0
33e9c797aadc13ea.jpg,20,0.62214,1,1,1,0
3448c2cf64983058.jpg,21,0.632132,1,1,1,0
34b1464cf92b97f7.jpg,28,0.522954,1,1,1,0
34b8a976d36bbaea.jpg,77,0.68101,1,1,1,0
34c0400788f86675.jpg,23,0.666315,1,1,1,0
34d7b37c6b457040.jpg,100,0.772678,1,1,1,1
35f837b8efa90099.jpg,6,0.456633,1,1,0,0
360e636ce1754acb.jpg,17,0.502141,1,1,1,0
36f08c7bb481ba25.jpg,39,0.76591,1,1,1,1
3708128cd8a52c9c.jpg,31,0.689015,1,1,1,0
37da985a8722e8b3.jpg,11,0.454865,1,1,0,0
38a18dda6a0e761f.jpg,93,0.922338,1,1,1,1
38dce42277f4ee23.jpg,10,0.674731,1,1,1,0
39e0f4086771cca5.jpg,13,0.247077,0,0,0,0
39ff14019dc16161.jpg,9,0.544018,1,1,1,0
3a41eb035c8a893b.jpg,152,0.824802,1,1,1,1
3aacc9df5fe80ec4.jpg,165,0.666566,1,1,1,0
3b9e3590b18a59db.jpg,125,0.799018,1,1,1,1
3f063c7a6c19b773.jpg,7,0.143822,0,0,0,0
3f758fd3d94c729e.jpg,5,0.166955,0,0,0,0
3fec3b9feac65f6a.jpg,115,0.675031,1,1,1,0
4006b1a5e241c510.jpg,64,0.444453,1,1,0,0
41193892cae6a499.jpg,11,0.405302,1,1,0,0
4237bb524085fe80.jpg,5,0.449767,1,1,0,0
42e963e9a3b35f45.jpg,6,0.591932,1,1,1,0
433b2a82c5c804a1.jpg,57,0.669205,1,1,1,0
43a781c702c29667.jpg,35,0.541875,1,1,1,0
45063c6e8cc46408.jpg,24,0.567391,1,1,1,0
46451248f4622dee.jpg,20,0.373642,1,0,0,0
46c63f45262a8ac5.jpg,125,0.833831,1,1,1,1
46f0a6283ce0eae1.jpg,13,0.642036,1,1,1,0
472a1a286fa6e9d0.jpg,8,0.706114,1,1,1,1
47e88023d529b327.jpg,46,0.746966,1,1,1,1
