tau,row,r_flight,r_farnear,fp_hd
0.30,old,100.0,100.0,92.8
0.30,new,98.7,97.3,62.7
0.30,AND,98.7,97.3,61.5
0.30,OR,100.0,100.0,94.0
0.35,old,100.0,100.0,90.0
0.35,new,97.2,94.2,54.5
0.35,AND,97.1,94.2,52.8
0.35,OR,100.0,100.0,91.8
0.40,old,99.8,99.6,86.2
0.40,new,94.8,89.4,50.5
0.40,AND,94.7,89.3,48.8
0.40,OR,99.8,99.7,88.0
0.45,old,98.7,97.6,80.5
0.45,new,90.6,81.4,44.5
0.45,AND,90.2,80.6,41.5
0.45,OR,99.1,98.3,83.5
0.50,old,94.5,89.7,75.0
0.50,new,84.3,69.5,37.8
0.50,AND,82.7,66.8,34.2
0.50,OR,96.2,92.4,78.5
0.55,old,85.5,73.2,68.0
0.55,new,74.0,50.0,32.8
0.55,AND,70.7,45.2,27.8
0.55,OR,88.8,78.1,73.0
0.60,old,70.6,46.7,55.8
0.60,new,60.4,25.8,28.0
0.60,AND,56.2,20.5,21.8
0.60,OR,74.8,51.9,62.0
0.65,old,53.1,20.6,43.2
0.65,new,45.1,6.9,22.0
0.65,AND,41.6,5.8,15.8
0.65,OR,56.6,21.7,49.5
0.70,old,31.7,3.8,28.2
0.70,new,29.3,0.6,15.0
0.70,AND,25.3,0.3,9.8
0.70,OR,35.7,4.0,33.5
