stage,fps,n_frames_covered,coverage,lag_p50,lag_p95,lag_p99,drain_s,max_backlog,gpu_util_mean,gpu_util_p95,vram_peak_mib,sustainable,n_samples,lag_p95_steady
A@0.5,0.5000,220,0.5500,0.1750,6.1409,8.1517,1.5639,1,0.0822,0.4000,607.0000,1,73,6.1433
A@1,1.0000,220,0.5500,1.0773,18.1896,32.8489,1.9809,17,0.2000,1.0000,607.0000,1,40,4.0309
A@2,2.0000,216,0.5400,0.5654,25.5892,32.6381,4.1293,32,0.5417,1.0000,607.0000,1,24,2.0224
A@3,3.0000,212,0.5300,0.7083,29.1337,33.6453,9.2088,46,0.7368,1.5000,607.0000,1,19,1.6893
A@4,4.0000,209,0.5225,0.6022,31.1167,33.3346,6.3556,64,0.7500,3.2500,607.0000,1,16,1.0666
A@5,5.0000,206,0.5150,3.3805,30.3688,32.3138,1.9684,73,0.6429,2.7000,607.0000,1,14,0.8761
B@0.5,0.5000,222,0.5550,0.2017,8.1740,27.6271,0.9481,9,0.4384,2.0000,677.0000,1,73,6.1592
B@1,1.0000,220,0.5500,1.0815,18.1904,30.8874,12.6022,17,0.8750,2.0000,677.0000,1,40,3.4855
B@2,2.0000,216,0.5400,0.5791,27.2791,32.9547,4.5952,32,1.3750,3.0000,677.0000,1,24,2.0009
B@3,3.0000,212,0.5300,0.7482,29.3194,33.6719,8.1665,46,1.9474,5.0000,677.0000,1,19,1.5058
B@4,4.0000,209,0.5225,0.8044,31.1444,33.6157,5.7575,64,2.3125,8.7500,677.0000,1,16,1.0772
B@5,5.0000,206,0.5150,7.7124,33.5750,35.2284,1.3426,83,3.1429,12.0000,677.0000,1,14,0.7976
