img,n_tiles,tile_confs,tile_nboxes,full_conf640,w,h
005bd647ca0ac947.jpg,24,0.000000;0.000000;0.000000;0.000000;0.081811;0.000000;0.000000;0.000000;0.098193;0.000000;0.000000;0.000000;0.117833;0.000000;0.000000;0.000000;0.092551;0.000000;0.000000;0.058797;0.648741;0.000000;0.000000;0.000000,0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0,0.178743,2000,3008
006c8ac9b5e6906a.jpg,6,0.258379;0.000000;0.000000;0.244843;0.000000;0.000000,6;0;0;2;0;0,0.317508,1280,960
01a2b161a5937ac0.jpg,24,0.000000;0.000000;0.000000;0.177972;0.000000;0.000000;0.510451;0.063473;0.000000;0.150309;0.558273;0.000000;0.000000;0.000000;0.484402;0.406452;0.531782;0.000000;0.000000;0.140980;0.228251;0.558274;0.645996;0.000000,0;0;0;1;0;0;2;1;0;3;2;0;0;0;1;2;3;0;0;1;1;3;2;0,0.783181,3008,2000
01f5efed4dfda77e.jpg,48,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.205030;0.000000;0.000000;0.000000;0.000000;0.000000;0.250325;0.201804;0.000000;0.000000;0.082765;0.000000;0.000000;0.000000;0.058658;0.000000;0.252423;0.079603;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.061798;0.000000;0.000000;0.000000;0.000000;0.000000;0.176904;0.000000;0.000000;0.000000,0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;2;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0,0.0,4000,3000
02b2ab24e7e709cf.jpg,15,0.000000;0.190638;0.000000;0.000000;0.000000;0.000000;0.338325;0.000000;0.127292;0.000000;0.000000;0.057715;0.084246;0.000000;0.053488,0;1;0;0;0;0;2;0;1;0;0;1;4;0;1,0.0,2495,1626
034530143f388715.jpg,12,0.057674;0.000000;0.000000;0.000000;0.086443;0.155541;0.000000;0.264029;0.000000;0.527339;0.000000;0.335697,1;0;0;0;1;2;0;1;0;1;0;1,0.0,2048,1536
04052a2470d09108.jpg,40,0.356783;0.481640;0.000000;0.376273;0.000000;0.064605;0.409187;0.523619;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,1;2;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0.0,3872,2592
0544f3c78a580ff4.jpg,9,0.000000;0.000000;0.000000;0.379978;0.420873;0.380559;0.231261;0.407518;0.351572,0;0;0;1;3;1;3;2;1,0.0,1600,1200
06d1d39cbea07874.jpg,42,0.457325;0.252103;0.000000;0.077523;0.059087;0.000000;0.000000;0.127344;0.525479;0.072727;0.052867;0.000000;0.000000;0.000000;0.000000;0.000000;0.111465;0.075084;0.000000;0.089975;0.000000;0.000000;0.077151;0.104451;0.000000;0.000000;0.000000;0.000000;0.000000;0.114748;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,2;2;0;2;1;0;0;2;3;2;1;0;0;0;0;0;1;1;0;1;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0,0.0,3289,2695
06d70ecda37db5e3.jpg,12,0.061655;0.000000;0.000000;0.000000;0.000000;0.573964;0.000000;0.000000;0.000000;0.000000;0.000000;0.054297,1;0;0;0;0;2;0;0;0;0;0;1,0.171893,1852,1541
