img,n_tiles,tile_confs,tile_nboxes,full_conf640,w,h
005bd647ca0ac947.jpg,24,0.456482;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.384922;0.103287;0.000000;0.000000;0.293464;0.613499;0.000000;0.000000;0.281564;0.000000;0.127009;0.112766;0.221952;0.317757;0.000000;0.407583;0.483427,1;0;0;0;0;0;0;2;2;0;0;3;2;0;0;4;0;2;4;2;5;0;4;7,0.514216,2000,3008
006c8ac9b5e6906a.jpg,6,0.453635;0.440148;0.468662;0.356967;0.348510;0.395360,16;6;2;8;3;4,0.496177,1280,960
01a2b161a5937ac0.jpg,24,0.000000;0.000000;0.158411;0.000000;0.000000;0.000000;0.077457;0.000000;0.411290;0.238795;0.050338;0.073256;0.000000;0.434395;0.000000;0.358865;0.611311;0.000000;0.000000;0.186153;0.527733;0.365802;0.415039;0.000000,0;0;2;0;0;0;1;0;1;1;1;1;0;1;0;3;2;0;0;3;3;3;2;0,0.866793,3008,2000
01f5efed4dfda77e.jpg,48,0.272435;0.000000;0.134923;0.000000;0.000000;0.101553;0.000000;0.000000;0.195966;0.299791;0.334194;0.414754;0.188341;0.061403;0.000000;0.111612;0.523442;0.444793;0.095581;0.328713;0.097210;0.182029;0.390398;0.463493;0.272111;0.051405;0.000000;0.314037;0.226440;0.298197;0.515854;0.309566;0.000000;0.000000;0.000000;0.000000;0.145885;0.243441;0.545777;0.098875;0.057235;0.118246;0.000000;0.177072;0.121928;0.104126;0.069829;0.105953,2;0;2;0;0;1;0;0;3;4;4;4;5;1;0;3;1;2;4;4;5;3;5;4;3;1;0;1;2;3;1;2;0;0;0;0;1;1;1;3;2;2;0;2;1;2;1;3,0.154246,4000,3000
02b2ab24e7e709cf.jpg,15,0.058413;0.285394;0.201598;0.079678;0.000000;0.127502;0.000000;0.216421;0.053856;0.000000;0.000000;0.178525;0.382408;0.381547;0.276301,1;5;1;2;0;3;0;2;1;0;0;4;1;4;2,0.220171,2495,1626
034530143f388715.jpg,12,0.180393;0.487632;0.828858;0.692814;0.388646;0.466053;0.523774;0.196610;0.280750;0.457960;0.275201;0.529144,1;5;3;3;5;5;6;4;3;4;2;4,0.351131,2048,1536
04052a2470d09108.jpg,40,0.663287;0.634603;0.584948;0.575396;0.134530;0.000000;0.609507;0.523457;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.137875;0.000000;0.214826;0.000000;0.000000;0.000000;0.000000;0.060903;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,2;3;2;3;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0,0.197101,3872,2592
0544f3c78a580ff4.jpg,9,0.126058;0.519316;0.109388;0.464506;0.589793;0.604349;0.520380;0.571283;0.605537,2;2;5;3;4;3;2;4;3,0.113892,1600,1200
06d1d39cbea07874.jpg,42,0.419926;0.572612;0.587302;0.352292;0.142591;0.210715;0.445240;0.528500;0.296491;0.120455;0.329252;0.118009;0.161906;0.052086;0.091539;0.131574;0.090955;0.238480;0.166856;0.560392;0.315224;0.120061;0.000000;0.000000;0.177068;0.000000;0.000000;0.000000;0.455605;0.000000;0.075268;0.138366;0.000000;0.563608;0.388897;0.387192;0.000000;0.074313;0.293983;0.000000;0.579651;0.325040,4;4;5;4;1;6;1;3;2;4;4;3;1;1;2;2;4;6;3;2;6;3;0;0;2;0;0;0;2;0;2;1;0;2;1;2;0;1;2;0;2;1,0.173163,3289,2695
06d70ecda37db5e3.jpg,12,0.321374;0.313551;0.000000;0.133153;0.343158;0.641208;0.000000;0.000000;0.133274;0.065615;0.356409;0.337398,1;4;0;2;5;2;0;0;4;2;6;6,0.0,1852,1541
078a836c2a6c0d7a.jpg,35,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.261726;0.000000;0.177605;0.000000;0.074767;0.340509;0.303772;0.272279;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.071994;0.058532;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,0;0;0;0;0;0;0;2;0;1;0;1;2;1;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0,0.783278,3264,2448
07e132007696f157.jpg,96,0.091406;0.126610;0.121883;0.000000;0.114907;0.084872;0.133191;0.057021;0.579551;0.263987;0.232415;0.794531;0.174203;0.065724;0.235345;0.281415;0.113916;0.000000;0.351162;0.137944;0.377380;0.200007;0.085710;0.222174;0.133523;0.075709;0.000000;0.000000;0.158875;0.243192;0.376495;0.203576;0.351323;0.095793;0.284587;0.190430;0.635125;0.633648;0.262234;0.522941;0.337067;0.073590;0.237249;0.185171;0.351309;0.312565;0.484301;0.399181;0.606886;0.098427;0.162445;0.076552;0.171365;0.242556;0.263374;0.083326;0.109307;0.000000;0.081344;0.215311;0.187762;0.192677;0.271839;0.091250;0.315036;0.214361;0.531889;0.436563;0.165901;0.708555;0.753887;0.751767;0.000000;0.000000;0.114714;0.054509;0.456091;0.000000;0.000000;0.065126;0.164688;0.378818;0.000000;0.000000;0.000000;0.115379;0.137896;0.408725;0.000000;0.060018;0.151902;0.059243;0.060300;0.430933;0.000000;0.000000,1;2;2;0;2;1;1;1;7;3;1;2;5;2;4;2;1;0;4;4;7;7;3;3;7;4;0;0;3;7;8;12;5;2;6;2;5;3;6;1;8;3;7;5;5;3;5;7;5;2;3;1;3;4;6;2;2;0;1;2;5;3;2;2;3;2;3;4;1;4;2;2;0;0;1;1;8;0;0;1;5;5;0;0;0;2;3;3;0;3;1;1;2;4;0;0,0.27744,6048,4032
07e304a0ba61ce5c.jpg,35,0.483278;0.432144;0.082201;0.651108;0.630521;0.714049;0.715322;0.456687;0.590824;0.289169;0.191092;0.187842;0.546266;0.631882;0.296975;0.203444;0.469575;0.000000;0.419613;0.403662;0.333177;0.102926;0.000000;0.073539;0.207025;0.145550;0.270757;0.152225;0.000000;0.000000;0.000000;0.129403;0.077706;0.265740;0.158206,3;4;4;5;5;4;2;1;4;4;6;5;4;3;3;1;2;0;7;2;1;4;0;2;5;1;5;3;0;0;0;1;2;4;5,0.208584,3313,2254
08877441bb91eceb.jpg,15,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.138394;0.000000;0.000000;0.391635;0.397979;0.163494;0.109313;0.161202,0;0;0;0;0;0;0;3;0;0;4;5;5;2;1,0.280301,2500,1656
0958b13d06fce47e.jpg,35,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.095576;0.718009;0.000000;0.000000;0.000000;0.319882;0.132901;0.206287;0.270096;0.382426;0.356923;0.361072;0.359559;0.000000;0.080567;0.194756;0.255934;0.266659;0.281442,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;2;3;4;7;4;3;3;5;0;1;7;5;7;4,0.097592,3264,2448
