img,n_tiles,tile_confs,tile_nboxes,full_conf640,w,h
1692846890.305293.png,10,0.000000;0.114883;0.000000;0.140657;0.178088;0.000000;0.087412;0.000000;0.000000;0.133252,0;1;0;2;4;0;1;0;0;2,0.09383,2560,960
1692846890.641196.png,10,0.000000;0.160171;0.000000;0.568262;0.500582;0.000000;0.140531;0.000000;0.548054;0.524020,0;1;0;6;6;0;1;0;4;4,0.094164,2560,960
1692846890.973237.png,10,0.000000;0.000000;0.065379;0.580920;0.486405;0.000000;0.000000;0.133184;0.582554;0.531036,0;0;1;5;2;0;0;1;4;1,0.088423,2560,960
1692846891.304939.png,10,0.000000;0.167991;0.000000;0.276402;0.342859;0.000000;0.144325;0.000000;0.318826;0.215847,0;1;0;2;4;0;1;0;2;2,0.089151,2560,960
1692846891.641807.png,10,0.000000;0.092022;0.000000;0.298766;0.523811;0.000000;0.079941;0.000000;0.440427;0.557762,0;1;0;5;3;0;1;0;4;1,0.0898,2560,960
1692846891.973177.png,10,0.000000;0.090610;0.000000;0.584162;0.460337;0.000000;0.076401;0.000000;0.589703;0.499907,0;1;0;4;2;0;1;0;3;3,0.09192,2560,960
1692846892.305127.png,10,0.000000;0.069376;0.000000;0.445867;0.550735;0.000000;0.058821;0.000000;0.449574;0.398867,0;1;0;3;7;0;1;0;2;2,0.084568,2560,960
1692846892.641099.png,10,0.000000;0.000000;0.000000;0.000000;0.461920;0.000000;0.000000;0.000000;0.138889;0.305018,0;0;0;0;4;0;0;0;2;2,0.085889,2560,960
1692846892.973081.png,10,0.000000;0.109040;0.000000;0.428682;0.571911;0.000000;0.083244;0.000000;0.634919;0.633306,0;1;0;3;6;0;1;0;4;5,0.092552,2560,960
1692846893.305775.png,10,0.000000;0.000000;0.000000;0.162549;0.490223;0.000000;0.000000;0.000000;0.132081;0.381983,0;0;0;3;5;0;0;0;2;4,0.093099,2560,960
1692846893.641169.png,10,0.000000;0.075176;0.000000;0.000000;0.636880;0.000000;0.000000;0.000000;0.539874;0.538949,0;1;0;0;5;0;0;0;1;4,0.0867,2560,960
1692846893.973204.png,10,0.000000;0.000000;0.000000;0.172419;0.586670;0.000000;0.000000;0.000000;0.000000;0.547016,0;0;0;2;4;0;0;0;0;2,0.10404,2560,960
1692846894.305359.png,10,0.000000;0.000000;0.199691;0.386494;0.136929;0.000000;0.000000;0.268391;0.490196;0.083996,0;0;1;3;2;0;0;2;5;1,0.102912,2560,960
1692846894.641509.png,10,0.000000;0.000000;0.000000;0.457873;0.378779;0.000000;0.000000;0.000000;0.517408;0.371931,0;0;0;4;4;0;0;0;3;3,0.100235,2560,960
1692846894.973511.png,10,0.000000;0.000000;0.000000;0.532446;0.425129;0.000000;0.000000;0.000000;0.585422;0.488139,0;0;0;4;5;0;0;0;3;4,0.096091,2560,960
1692846895.305503.png,10,0.000000;0.000000;0.000000;0.502607;0.517192;0.000000;0.000000;0.000000;0.473983;0.626813,0;0;0;2;5;0;0;0;1;4,0.097277,2560,960
1692846895.641467.png,10,0.000000;0.000000;0.000000;0.266062;0.416328;0.000000;0.000000;0.143891;0.436288;0.076812,0;0;0;5;3;0;0;1;3;1,0.089001,2560,960
1692846895.973340.png,10,0.000000;0.000000;0.000000;0.470141;0.477478;0.000000;0.000000;0.000000;0.565817;0.170214,0;0;0;4;7;0;0;0;4;4,0.093043,2560,960
