img,n_tiles,tile_confs,tile_nboxes,full_conf640,w,h
1692846890.305293.png,10,0.000000;0.256868;0.502391;0.473288;0.439476;0.485986;0.233135;0.052051;0.075351;0.392317,0;2;2;6;5;2;5;1;1;6,0.0,2560,960
1692846890.641196.png,10,0.000000;0.198629;0.556441;0.574054;0.378386;0.465307;0.244885;0.477787;0.633771;0.558268,0;3;4;11;4;2;6;2;4;5,0.0,2560,960
1692846890.973237.png,10,0.000000;0.099451;0.528758;0.615335;0.439408;0.444748;0.130494;0.296892;0.641234;0.516141,0;2;3;6;3;2;7;2;4;5,0.0,2560,960
1692846891.304939.png,10,0.000000;0.153823;0.513171;0.402775;0.348732;0.281959;0.223206;0.545860;0.472362;0.304720,0;3;3;7;5;2;9;1;1;7,0.0,2560,960
1692846891.641807.png,10,0.000000;0.138704;0.542814;0.511672;0.504928;0.345342;0.197081;0.000000;0.561722;0.603585,0;2;2;11;5;2;7;0;4;5,0.0,2560,960
1692846891.973177.png,10,0.000000;0.149455;0.561935;0.606501;0.404323;0.348952;0.158409;0.477917;0.635085;0.541547,0;2;3;8;5;2;6;1;2;5,0.0,2560,960
1692846892.305127.png,10,0.000000;0.178176;0.535997;0.487164;0.555943;0.268776;0.193481;0.357841;0.493293;0.255904,0;3;3;6;3;3;7;1;3;2,0.0,2560,960
1692846892.641099.png,10,0.000000;0.155240;0.579045;0.169903;0.531556;0.350332;0.192389;0.197288;0.288558;0.513057,0;2;3;6;4;2;7;4;2;3,0.0,2560,960
1692846892.973081.png,10,0.000000;0.156112;0.543734;0.428578;0.506405;0.331087;0.171776;0.276973;0.563783;0.589649,0;3;4;8;6;2;9;4;3;6,0.0,2560,960
1692846893.305775.png,10,0.000000;0.145296;0.559870;0.321109;0.524221;0.424740;0.193740;0.102530;0.172657;0.448623,0;3;2;3;4;3;6;1;1;4,0.0,2560,960
1692846893.641169.png,10,0.000000;0.111657;0.494427;0.249911;0.636962;0.344852;0.291282;0.460437;0.257331;0.588661,0;2;3;5;7;3;7;2;1;5,0.0,2560,960
1692846893.973204.png,10,0.000000;0.113472;0.494374;0.427775;0.571414;0.307808;0.272850;0.231248;0.087775;0.624425,0;2;3;6;5;3;8;1;2;4,0.0,2560,960
1692846894.305359.png,10,0.000000;0.196352;0.446863;0.377790;0.272656;0.183427;0.222416;0.266022;0.458249;0.313292,0;2;2;9;6;3;5;2;3;7,0.0,2560,960
1692846894.641509.png,10,0.000000;0.127278;0.514461;0.564629;0.517999;0.086556;0.168779;0.340622;0.600311;0.492111,0;2;3;6;6;3;7;2;4;3,0.0,2560,960
1692846894.973511.png,10,0.000000;0.144918;0.515531;0.604936;0.602961;0.263615;0.222955;0.203689;0.673192;0.402580,0;2;3;8;3;3;6;1;3;4,0.0,2560,960
1692846895.305503.png,10,0.000000;0.137866;0.489599;0.425502;0.508239;0.196627;0.178547;0.251854;0.411034;0.661287,0;2;3;5;2;3;6;1;1;3,0.0,2560,960
1692846895.641467.png,10,0.000000;0.108370;0.547171;0.509198;0.461730;0.104861;0.233845;0.376194;0.597606;0.492279,0;2;4;10;3;2;5;3;3;1,0.0,2560,960
1692846895.973340.png,10,0.000000;0.140870;0.530743;0.476054;0.394195;0.178951;0.311679;0.407824;0.611736;0.375938,0;2;3;4;6;3;5;1;3;5,0.0,2560,960
1692846896.305133.png,10,0.000000;0.108767;0.576301;0.358611;0.497371;0.158219;0.258993;0.098807;0.000000;0.504715,0;2;2;3;6;2;3;1;0;4,0.0,2560,960
1692846896.641231.png,10,0.000000;0.126545;0.531713;0.389949;0.604385;0.168472;0.118200;0.309288;0.486643;0.658494,0;2;4;4;5;2;5;3;6;4,0.0,2560,960
1692846896.973155.png,10,0.000000;0.088853;0.542256;0.496428;0.390394;0.168185;0.244618;0.375137;0.592402;0.541074,0;2;3;8;5;2;6;1;3;6,0.0,2560,960
1692846897.305493.png,10,0.000000;0.121072;0.573362;0.442176;0.433472;0.143078;0.113656;0.485684;0.440059;0.574326,0;2;3;8;3;1;5;4;2;4,0.0,2560,960
1692846897.641277.png,10,0.000000;0.141258;0.577269;0.329293;0.482629;0.135654;0.110112;0.459377;0.499963;0.139856,0;3;3;5;4;1;6;1;2;3,0.0,2560,960
1692846897.973075.png,10,0.000000;0.103540;0.479534;0.554388;0.570393;0.222181;0.114079;0.488610;0.597686;0.604929,0;2;3;5;5;1;5;3;5;6,0.0,2560,960
1692846898.305021.png,10,0.000000;0.060177;0.546693;0.497653;0.535682;0.240869;0.211936;0.218878;0.125378;0.174740,0;1;2;4;4;1;5;2;2;3,0.0,2560,960
