policy,tau,fp_pct,recall_pct
MAX,0.3,61.5,98.8
MAX,0.35,52.8,96.6
MAX,0.4,48.8,93.8
MAX,0.45,41.5,90.2
MAX,0.5,34.2,83.3
FULL,0.3,6.5,7.0
FULL,0.35,5.0,6.2
FULL,0.4,2.8,6.0
FULL,0.45,2.5,5.4
FULL,0.5,2.0,4.4
CONS2,0.3,45.2,95.0
CONS2,0.35,36.2,90.8
CONS2,0.4,30.5,86.7
CONS2,0.45,24.0,81.1
CONS2,0.5,19.0,72.5
CONS3,0.3,28.7,82.7
CONS3,0.35,21.8,77.7
CONS3,0.4,19.0,69.9
CONS3,0.45,14.2,60.2
CONS3,0.5,10.0,49.2
NULL,0.3,2.8,51.2
NULL,0.35,3.0,63.1
NULL,0.4,1.8,55.6
NULL,0.45,1.8,60.2
NULL,0.5,1.5,49.2
