img,z,conf
1692846887.841523,0.158,0.3964
1692846887.873224,0.158,0.4314
1692846887.905400,0.158,0.276
1692846887.941594,0.158,0.4697
1692846887.973160,0.158,0.3327
1692846888.005300,0.158,0.3855
1692846888.041198,0.251,0.4578
1692846888.105356,0.251,0.3831
1692846888.140991,0.251,0.4217
1692846888.173160,0.251,0.4381
1692846888.205341,0.251,0.4275
1692846888.241313,0.299,0.3918
1692846888.273249,0.299,0.3974
1692846888.305379,0.299,0.4014
1692846888.341681,0.299,0.4013
1692846888.373642,0.299,0.4199
1692846888.405742,0.299,0.3795
1692846888.441180,0.329,0.4387
1692846888.473422,0.329,0.3118
1692846888.505390,0.329,0.4005
1692846888.541217,0.329,0.4541
1692846888.573079,0.329,0.4611
1692846888.605267,0.329,0.3909
1692846888.641296,0.329,0.3514
1692846888.673200,0.329,0.4457
1692846888.705256,0.348,0.4633
1692846888.741496,0.348,0.4115
1692846888.773661,0.348,0.4672
1692846888.805602,0.348,0.2474
1692846888.841176,0.348,0.4081
1692846888.873158,0.348,0.3826
1692846888.905260,0.373,0.4568
1692846888.941070,0.373,0.4189
1692846888.973110,0.373,0.535
1692846889.005295,0.373,0.5519
1692846889.041259,0.373,0.452
1692846889.073618,0.373,0.2193
1692846889.105675,0.405,0.3236
1692846889.141365,0.405,0.379
1692846889.173436,0.405,0.4122
1692846889.205568,0.405,0.4546
1692846889.241338,0.405,0.628
1692846889.273396,0.405,0.3817
1692846889.305521,0.431,0.5075
1692846889.341299,0.431,0.4162
1692846889.373255,0.431,0.3966
1692846889.405364,0.431,0.4201
1692846889.441646,0.431,0.4747
1692846889.473613,0.431,0.4221
1692846889.505655,0.501,0.5369
1692846889.541479,0.501,0.4521
1692846889.573248,0.501,0.4942
1692846889.605316,0.501,0.505
1692846889.641788,0.501,0.4135
1692846889.673221,0.501,0.3831
1692846889.705394,0.636,0.4437
1692846889.741189,0.636,0.4179
1692846889.773260,0.636,0.3909
1692846889.805372,0.636,0.4253
1692846889.841494,0.636,0.3976
1692846889.873641,0.636,0.5392
1692846889.905676,0.781,0.4215
