img,z,conf_full1920,conf_sahi,conf_union
1692846887.841523,,0.3964,0.5878,0.5878
1692846887.873224,,0.4314,0.5375,0.5375
1692846887.905400,,0.276,0.5723,0.5723
1692846887.941594,,0.4697,0.5256,0.5256
1692846887.973160,,0.3327,0.6509,0.6509
1692846888.005300,,0.3855,0.5488,0.5488
1692846888.041198,,0.4578,0.5685,0.5685
1692846888.105356,,0.3831,0.5762,0.5762
1692846888.140991,,0.4217,0.5616,0.5616
1692846888.173160,,0.4381,0.6604,0.6604
1692846888.205341,,0.4275,0.59,0.59
1692846888.241313,,0.3918,0.6258,0.6258
1692846888.273249,,0.3974,0.5958,0.5958
1692846888.305379,,0.4014,0.6103,0.6103
1692846888.341681,,0.4013,0.5319,0.5319
1692846888.373642,,0.4199,0.6266,0.6266
1692846888.405742,,0.3795,0.5355,0.5355
1692846888.441180,,0.4387,0.6547,0.6547
1692846888.473422,,0.3118,0.636,0.636
1692846888.505390,,0.4005,0.5531,0.5531
1692846888.541217,,0.4541,0.6462,0.6462
1692846888.573079,,0.4611,0.6084,0.6084
1692846888.605267,,0.3909,0.5482,0.5482
1692846888.641296,,0.3514,0.5205,0.5205
1692846888.673200,,0.4457,0.5693,0.5693
1692846888.705256,,0.4633,0.6609,0.6609
1692846888.741496,,0.4115,0.5498,0.5498
1692846888.773661,,0.4672,0.5351,0.5351
1692846888.805602,,0.2474,0.5769,0.5769
1692846888.841176,,0.4081,0.5881,0.5881
1692846888.873158,,0.3826,0.5042,0.5042
1692846888.905260,,0.4568,0.6059,0.6059
1692846888.941070,,0.4189,0.5381,0.5381
1692846888.973110,,0.535,0.6426,0.6426
1692846889.005295,,0.5519,0.5605,0.5605
1692846889.041259,,0.452,0.6053,0.6053
1692846889.073618,,0.2193,0.5464,0.5464
1692846889.105675,,0.3236,0.5484,0.5484
1692846889.141365,,0.379,0.5385,0.5385
1692846889.173436,,0.4122,0.5896,0.5896
1692846889.205568,,0.4546,0.5837,0.5837
1692846889.241338,,0.628,0.6411,0.6411
1692846889.273396,,0.3817,0.5685,0.5685
1692846889.305521,,0.5075,0.64,0.64
1692846889.341299,,0.4162,0.6028,0.6028
1692846889.373255,,0.3966,0.6056,0.6056
1692846889.405364,,0.4201,0.5661,0.5661
1692846889.441646,,0.4747,0.6353,0.6353
1692846889.473613,,0.4221,0.606,0.606
1692846889.505655,,0.5369,0.6875,0.6875
1692846889.541479,,0.4521,0.5926,0.5926
1692846889.573248,,0.4942,0.6341,0.6341
1692846889.605316,,0.505,0.568,0.568
1692846889.641788,,0.4135,0.5789,0.5789
