img,z,conf_full1920,conf_sahi,conf_union
1692846887.841523,,0.0,0.1597,0.1597
1692846887.873224,,0.0,0.2097,0.2097
1692846887.905400,,0.0,0.2195,0.2195
1692846887.941594,,0.0,0.1772,0.1772
1692846887.973160,,0.0,0.2554,0.2554
1692846888.005300,,0.0,0.1968,0.1968
1692846888.041198,,0.0,0.1967,0.1967
1692846888.105356,,0.0,0.1423,0.1423
1692846888.140991,,0.0,0.2385,0.2385
1692846888.173160,,0.0,0.2041,0.2041
1692846888.205341,,0.0,0.2166,0.2166
1692846888.241313,,0.0,0.1811,0.1811
1692846888.273249,,0.0,0.1172,0.1172
1692846888.305379,,0.0,0.2996,0.2996
1692846888.341681,,0.0,0.1656,0.1656
1692846888.373642,,0.0,0.1366,0.1366
1692846888.405742,,0.0,0.2019,0.2019
1692846888.441180,,0.0,0.2517,0.2517
1692846888.473422,,0.0,0.1699,0.1699
1692846888.505390,,0.0,0.1303,0.1303
1692846888.541217,,0.0,0.1543,0.1543
1692846888.573079,,0.0,0.1395,0.1395
1692846888.605267,,0.0,0.1563,0.1563
1692846888.641296,,0.0,0.2114,0.2114
1692846888.673200,,0.0,0.1738,0.1738
1692846888.705256,,0.0,0.1131,0.1131
1692846888.741496,,0.0,0.2591,0.2591
1692846888.773661,,0.0,0.1978,0.1978
1692846888.805602,,0.0,0.2045,0.2045
1692846888.841176,,0.0,0.1467,0.1467
1692846888.873158,,0.0,0.1953,0.1953
1692846888.905260,,0.0,0.1365,0.1365
1692846888.941070,,0.0,0.133,0.133
1692846888.973110,,0.0,0.2657,0.2657
1692846889.005295,,0.0,0.3047,0.3047
1692846889.041259,,0.0,0.1456,0.1456
1692846889.073618,,0.0,0.1959,0.1959
1692846889.105675,,0.0,0.1612,0.1612
1692846889.141365,,0.0,0.1127,0.1127
1692846889.173436,,0.0,0.1551,0.1551
1692846889.205568,,0.0,0.1352,0.1352
1692846889.241338,,0.0,0.1998,0.1998
1692846889.273396,,0.0,0.1891,0.1891
1692846889.305521,,0.0,0.1835,0.1835
1692846889.341299,,0.0,0.1282,0.1282
1692846889.373255,,0.0,0.1127,0.1127
1692846889.405364,,0.0,0.1533,0.1533
1692846889.441646,,0.0,0.2105,0.2105
