idx,dt,speed_rel,z,conf
1,0.032,1.0,0.15765480752693972,0.538
2,0.032,1.0,0.15765480752693972,0.572
3,0.036,1.0,0.15765480752693972,0.526
4,0.032,1.0,0.15765480752693972,0.651
5,0.032,1.0,0.15765480752693972,0.549
6,0.036,1.0,0.2513951462992179,0.569
7,0.064,1.0,0.2513951462992179,0.576
8,0.036,1.0,0.2513951462992179,0.562
9,0.032,1.0,0.2513951462992179,0.66
10,0.032,1.0,0.2513951462992179,0.59
11,0.036,1.0,0.2986674323967702,0.626
12,0.032,0.0945,0.2986674323967702,0.596
13,0.032,1.0,0.2986674323967702,0.61
14,0.036,1.0,0.2986674323967702,0.532
15,0.032,1.0,0.2986674323967702,0.627
16,0.032,1.0,0.2986674323967702,0.536
17,0.035,1.0,0.32862643902345323,0.655
18,0.032,1.0,0.32862643902345323,0.636
19,0.032,1.0,0.32862643902345323,0.553
20,0.036,1.0,0.32862643902345323,0.646
21,0.032,1.0,0.32862643902345323,0.608
22,0.032,1.0,0.32862643902345323,0.548
23,0.036,1.0,0.32862643902345323,0.521
24,0.032,1.0,0.32862643902345323,0.569
25,0.032,1.0,0.34760261511650126,0.661
26,0.036,1.0,0.34760261511650126,0.55
27,0.032,1.0,0.34760261511650126,0.535
28,0.032,1.0,0.34760261511650126,0.577
29,0.036,1.0,0.34760261511650126,0.588
30,0.032,1.0,0.34760261511650126,0.504
31,0.032,1.0,0.37275042204496,0.606
32,0.036,1.0,0.37275042204496,0.538
33,0.032,1.0,0.37275042204496,0.643
34,0.032,1.0,0.37275042204496,0.56
35,0.036,1.0,0.37275042204496,0.605
36,0.032,1.0,0.37275042204496,0.546
37,0.032,1.0,0.4052018732223257,0.548
38,0.036,1.0,0.4052018732223257,0.539
39,0.032,1.0,0.4052018732223257,0.59
40,0.032,1.0,0.4052018732223257,0.584
41,0.036,1.0,0.4052018732223257,0.641
42,0.032,1.0,0.4052018732223257,0.569
43,0.032,1.0,0.43142391069437847,0.64
44,0.036,1.0,0.43142391069437847,0.603
45,0.032,1.0,0.43142391069437847,0.606
46,0.032,1.0,0.43142391069437847,0.566
47,0.036,1.0,0.43142391069437847,0.635
48,0.032,1.0,0.43142391069437847,0.606
49,0.032,1.0,0.5006961824263823,0.687
50,0.036,1.0,0.5006961824263823,0.593
51,0.032,1.0,0.5006961824263823,0.634
52,0.032,1.0,0.5006961824263823,0.568
53,0.036,0.3009,0.5006961824263823,0.579
54,0.031,0.1108,0.5006961824263823,0.507
55,0.032,1.0,0.635589395645398,0.633
56,0.036,1.0,0.635589395645398,0.636
57,0.032,1.0,0.635589395645398,0.613
58,0.032,1.0,0.635589395645398,0.638
59,0.036,1.0,0.635589395645398,0.629
60,0.032,1.0,0.635589395645398,0.573
61,0.032,1.0,0.7812736490696477,0.592
62,0.036,1.0,0.7812736490696477,0.587
63,0.032,1.0,0.7812736490696477,0.587
64,0.032,1.0,0.7812736490696477,0.628
65,0.036,1.0,0.7812736490696477,0.501
66,0.032,1.0,0.7812736490696477,0.535
67,0.032,1.0,0.961313171137989,0.54
68,0.036,1.0,0.961313171137989,0.555
69,0.032,1.0,0.961313171137989,0.586
70,0.032,1.0,0.961313171137989,0.55
71,0.036,1.0,0.961313171137989,0.647
72,0.032,1.0,0.961313171137989,0.621
73,0.032,1.0,1.1351291400031027,0.502
74,0.036,1.0,1.1351291400031027,0.555
75,0.032,1.0,1.1351291400031027,0.51
76,0.032,1.0,1.1351291400031027,0.641
77,0.036,1.0,1.1351291400031027,0.634
78,0.032,1.0,1.1351291400031027,0.623
79,0.032,1.0,1.2545489730499224,0.545
80,0.036,1.0,1.2545489730499224,0.662
81,0.032,1.0,1.2545489730499224,0.484
82,0.032,0.398,1.2545489730499224,0.51
83,0.036,1.0,1.2545489730499224,0.634
84,0.032,1.0,1.2545489730499224,0.498
85,0.032,1.0,1.3739884142452052,0.621
