stress,policy,F1_mean,F1_std
drop0.0,video-only,0.8225,0.0
drop0.0,audio-only,0.8586,0.0
drop0.0,late 0.5/0.5,0.9541,0.0
drop0.0,late 0.5/0.5+Δ,0.8148,0.0
drop0.0,late w_v=0.7,0.8739,0.0
drop0.0,late w_v=0.9,0.8523,0.0
drop0.0,entropy λ=1,0.9541,0.0
drop0.0,consensus,0.8689,0.0
drop0.0,late+median5,0.968,0.0
drop0.2,video-only,0.8225,0.0
drop0.2,audio-only,0.7443,0.0304
drop0.2,late 0.5/0.5,0.9238,0.0107
drop0.2,late 0.5/0.5+Δ,0.8133,0.0139
drop0.2,late w_v=0.7,0.863,0.0058
drop0.2,late w_v=0.9,0.8465,0.0047
drop0.2,entropy λ=1,0.9238,0.0107
drop0.2,consensus,0.8586,0.0068
drop0.2,late+median5,0.9331,0.0126
drop0.4,video-only,0.8225,0.0
drop0.4,audio-only,0.6047,0.0488
drop0.4,late 0.5/0.5,0.9018,0.0131
drop0.4,late 0.5/0.5+Δ,0.8198,0.0125
drop0.4,late w_v=0.7,0.8538,0.0075
drop0.4,late w_v=0.9,0.8407,0.006
drop0.4,entropy λ=1,0.9018,0.0131
drop0.4,consensus,0.8515,0.0081
drop0.4,late+median5,0.9054,0.014
drop0.6,video-only,0.8225,0.0
drop0.6,audio-only,0.4552,0.0393
drop0.6,late 0.5/0.5,0.8747,0.009
drop0.6,late 0.5/0.5+Δ,0.8224,0.0142
drop0.6,late w_v=0.7,0.8448,0.0049
drop0.6,late w_v=0.9,0.8344,0.0043
drop0.6,entropy λ=1,0.8747,0.009
drop0.6,consensus,0.8431,0.0057
drop0.6,late+median5,0.8781,0.0091
drop0.8,video-only,0.8225,0.0
drop0.8,audio-only,0.2543,0.0491
drop0.8,late 0.5/0.5,0.8478,0.0103
drop0.8,late 0.5/0.5+Δ,0.8221,0.0105
drop0.8,late w_v=0.7,0.8345,0.0076
drop0.8,late w_v=0.9,0.8294,0.006
drop0.8,entropy λ=1,0.8478,0.0103
drop0.8,consensus,0.8326,0.0083
drop0.8,late+median5,0.8483,0.0112
noise0.0,video-only,0.8225,0.0
noise0.0,audio-only,0.8586,0.0
noise0.0,late 0.5/0.5,0.9541,0.0
noise0.0,late 0.5/0.5+Δ,0.8148,0.0
noise0.0,late w_v=0.7,0.8739,0.0
noise0.0,late w_v=0.9,0.8523,0.0
noise0.0,entropy λ=1,0.9541,0.0
noise0.0,consensus,0.8689,0.0
noise0.0,late+median5,0.968,0.0
noise0.2,video-only,0.8225,0.0
noise0.2,audio-only,0.7954,0.0261
noise0.2,late 0.5/0.5,0.8657,0.0205
noise0.2,late 0.5/0.5+Δ,0.7714,0.0293
noise0.2,late w_v=0.7,0.8509,0.0118
noise0.2,late w_v=0.9,0.8486,0.0096
noise0.2,entropy λ=1,0.8657,0.0205
noise0.2,consensus,0.8617,0.0077
noise0.2,late+median5,0.9214,0.0245
noise0.4,video-only,0.8225,0.0
noise0.4,audio-only,0.727,0.0375
noise0.4,late 0.5/0.5,0.7846,0.0274
noise0.4,late 0.5/0.5+Δ,0.7113,0.0356
noise0.4,late w_v=0.7,0.8097,0.0217
noise0.4,late w_v=0.9,0.8513,0.0123
noise0.4,entropy λ=1,0.7846,0.0274
noise0.4,consensus,0.8582,0.0085
noise0.4,late+median5,0.864,0.0409
noise0.6,video-only,0.8225,0.0
noise0.6,audio-only,0.6925,0.0414
noise0.6,late 0.5/0.5,0.7401,0.0354
noise0.6,late 0.5/0.5+Δ,0.6806,0.0415
noise0.6,late w_v=0.7,0.7768,0.0219
noise0.6,late w_v=0.9,0.852,0.0111
noise0.6,entropy λ=1,0.7401,0.0354
noise0.6,consensus,0.8549,0.0079
noise0.6,late+median5,0.8115,0.0585
outage0.1,video-only,0.8225,0.0
outage0.1,audio-only,0.8615,0.0
outage0.1,late 0.5/0.5,0.9369,0.0
outage0.1,late 0.5/0.5+Δ,0.8041,0.0
outage0.1,late w_v=0.7,0.8667,0.0
outage0.1,late w_v=0.9,0.8523,0.0
outage0.1,entropy λ=1,0.9369,0.0
outage0.1,consensus,0.876,0.0
outage0.1,late+median5,0.9507,0.0
outage0.25,video-only,0.8225,0.0
outage0.25,audio-only,0.7667,0.0
outage0.25,late 0.5/0.5,0.9321,0.0
outage0.25,late 0.5/0.5+Δ,0.84,0.0
outage0.25,late w_v=0.7,0.8619,0.0
outage0.25,late w_v=0.9,0.8475,0.0
outage0.25,entropy λ=1,0.9321,0.0
outage0.25,consensus,0.8714,0.0
outage0.25,late+median5,0.9507,0.0
outage0.5,video-only,0.8225,0.0
outage0.5,audio-only,0.5395,0.0
outage0.5,late 0.5/0.5,0.9273,0.0
outage0.5,late 0.5/0.5+Δ,0.8683,0.0
outage0.5,late w_v=0.7,0.8571,0.0
outage0.5,late w_v=0.9,0.8426,0.0
outage0.5,entropy λ=1,0.9273,0.0
outage0.5,consensus,0.8667,0.0
outage0.5,late+median5,0.9412,0.0
