stress,policy,F1_mean,F1_std
drop0.0,video-only,0.8706,0.0
drop0.0,audio-only,0.8586,0.0
drop0.0,late 0.5/0.5,0.9607,0.0
drop0.0,late 0.5/0.5+Δ,0.8571,0.0
drop0.0,late w_v=0.7,0.8706,0.0
drop0.0,late w_v=0.9,0.8706,0.0
drop0.0,entropy λ=1,0.9607,0.0
drop0.0,consensus,0.8706,0.0
drop0.0,late+median5,0.9565,0.0
drop0.2,video-only,0.8706,0.0
drop0.2,audio-only,0.7443,0.0304
drop0.2,late 0.5/0.5,0.9387,0.009
drop0.2,late 0.5/0.5+Δ,0.8557,0.0151
drop0.2,late w_v=0.7,0.8706,0.0
drop0.2,late w_v=0.9,0.8706,0.0
drop0.2,entropy λ=1,0.9387,0.009
drop0.2,consensus,0.8706,0.0
drop0.2,late+median5,0.9332,0.0112
drop0.4,video-only,0.8706,0.0
drop0.4,audio-only,0.6047,0.0488
drop0.4,late 0.5/0.5,0.9217,0.0084
drop0.4,late 0.5/0.5+Δ,0.8629,0.0151
drop0.4,late w_v=0.7,0.8706,0.0
drop0.4,late w_v=0.9,0.8706,0.0
drop0.4,entropy λ=1,0.9217,0.0084
drop0.4,consensus,0.8706,0.0
drop0.4,late+median5,0.9155,0.0093
drop0.6,video-only,0.8706,0.0
drop0.6,audio-only,0.4552,0.0393
drop0.6,late 0.5/0.5,0.9048,0.0108
drop0.6,late 0.5/0.5+Δ,0.8668,0.013
drop0.6,late w_v=0.7,0.8706,0.0
drop0.6,late w_v=0.9,0.8706,0.0
drop0.6,entropy λ=1,0.9048,0.0108
drop0.6,consensus,0.8706,0.0
drop0.6,late+median5,0.9023,0.0099
drop0.8,video-only,0.8706,0.0
drop0.8,audio-only,0.2543,0.0491
drop0.8,late 0.5/0.5,0.8894,0.007
drop0.8,late 0.5/0.5+Δ,0.8703,0.0102
drop0.8,late w_v=0.7,0.8706,0.0
drop0.8,late w_v=0.9,0.8706,0.0
drop0.8,entropy λ=1,0.8894,0.007
drop0.8,consensus,0.8706,0.0
drop0.8,late+median5,0.8865,0.0068
noise0.0,video-only,0.8706,0.0
noise0.0,audio-only,0.8586,0.0
noise0.0,late 0.5/0.5,0.9607,0.0
noise0.0,late 0.5/0.5+Δ,0.8571,0.0
noise0.0,late w_v=0.7,0.8706,0.0
noise0.0,late w_v=0.9,0.8706,0.0
noise0.0,entropy λ=1,0.9607,0.0
noise0.0,consensus,0.8706,0.0
noise0.0,late+median5,0.9565,0.0
noise0.2,video-only,0.8706,0.0
noise0.2,audio-only,0.7954,0.0261
noise0.2,late 0.5/0.5,0.8826,0.0169
noise0.2,late 0.5/0.5+Δ,0.8014,0.0264
noise0.2,late w_v=0.7,0.8677,0.0048
noise0.2,late w_v=0.9,0.8706,0.0
noise0.2,entropy λ=1,0.8826,0.0169
noise0.2,consensus,0.8706,0.0
noise0.2,late+median5,0.9129,0.0198
noise0.4,video-only,0.8706,0.0
noise0.4,audio-only,0.727,0.0375
noise0.4,late 0.5/0.5,0.8059,0.0258
noise0.4,late 0.5/0.5+Δ,0.7284,0.0346
noise0.4,late w_v=0.7,0.8416,0.0137
noise0.4,late w_v=0.9,0.8706,0.0
noise0.4,entropy λ=1,0.8059,0.0258
noise0.4,consensus,0.8706,0.0
noise0.4,late+median5,0.8694,0.0327
noise0.6,video-only,0.8706,0.0
noise0.6,audio-only,0.6925,0.0414
noise0.6,late 0.5/0.5,0.758,0.0337
noise0.6,late 0.5/0.5+Δ,0.6915,0.0428
noise0.6,late w_v=0.7,0.8138,0.0178
noise0.6,late w_v=0.9,0.8706,0.0
noise0.6,entropy λ=1,0.758,0.0337
noise0.6,consensus,0.8706,0.0
noise0.6,late+median5,0.83,0.0442
outage0.1,video-only,0.8706,0.0
outage0.1,audio-only,0.8615,0.0
outage0.1,late 0.5/0.5,0.9283,0.0
outage0.1,late 0.5/0.5+Δ,0.8246,0.0
outage0.1,late w_v=0.7,0.8706,0.0
outage0.1,late w_v=0.9,0.8706,0.0
outage0.1,entropy λ=1,0.9283,0.0
outage0.1,consensus,0.8706,0.0
outage0.1,late+median5,0.9322,0.0
outage0.25,video-only,0.8706,0.0
outage0.25,audio-only,0.7667,0.0
outage0.25,late 0.5/0.5,0.9328,0.0
outage0.25,late 0.5/0.5+Δ,0.8624,0.0
outage0.25,late w_v=0.7,0.8706,0.0
outage0.25,late w_v=0.9,0.8706,0.0
outage0.25,entropy λ=1,0.9328,0.0
outage0.25,consensus,0.8706,0.0
outage0.25,late+median5,0.9322,0.0
outage0.5,video-only,0.8706,0.0
outage0.5,audio-only,0.5395,0.0
outage0.5,late 0.5/0.5,0.9328,0.0
outage0.5,late 0.5/0.5+Δ,0.8978,0.0
outage0.5,late w_v=0.7,0.8706,0.0
outage0.5,late w_v=0.9,0.8706,0.0
outage0.5,entropy λ=1,0.9328,0.0
outage0.5,consensus,0.8706,0.0
outage0.5,late+median5,0.9322,0.0
