method,tau,P,R,F1
audio-only,0.05,0.782,1.0,0.877
audio-only,0.1,0.867,1.0,0.929
audio-only,0.15,0.91,1.0,0.953
audio-only,0.2,0.933,1.0,0.965
audio-only,0.25,0.957,1.0,0.978
audio-only,0.3,0.957,0.991,0.973
audio-only,0.35,0.956,0.973,0.964
audio-only,0.4,0.955,0.955,0.955
audio-only,0.45,0.96,0.865,0.91
audio-only,0.5,0.977,0.766,0.859
audio-only,0.55,0.987,0.703,0.821
audio-only,0.6,1.0,0.568,0.724
audio-only,0.65,1.0,0.45,0.621
audio-only,0.7,1.0,0.324,0.49
audio-only,0.75,1.0,0.207,0.343
audio-only,0.8,1.0,0.072,0.134
audio-only,0.85,1.0,0.027,0.053
audio-only,0.9,nan,0.0,nan
audio-only,0.95,nan,0.0,nan
late 0.5/0.5,0.05,0.771,1.0,0.871
late 0.5/0.5,0.1,0.793,1.0,0.884
late 0.5/0.5,0.15,0.791,0.991,0.88
late 0.5/0.5,0.2,0.797,0.955,0.869
late 0.5/0.5,0.25,0.781,0.802,0.791
late 0.5/0.5,0.3,0.75,0.622,0.68
late 0.5/0.5,0.35,0.671,0.423,0.519
late 0.5/0.5,0.4,0.542,0.234,0.327
late 0.5/0.5,0.45,0.462,0.162,0.24
late 0.5/0.5,0.5,0.737,0.126,0.215
late 0.5/0.5,0.55,0.714,0.045,0.085
late 0.5/0.5,0.6,0.75,0.027,0.052
late 0.5/0.5,0.65,0.667,0.018,0.035
late 0.5/0.5,0.7,1.0,0.018,0.035
late 0.5/0.5,0.75,1.0,0.009,0.018
late 0.5/0.5,0.8,1.0,0.009,0.018
late 0.5/0.5,0.85,nan,0.0,nan
late 0.5/0.5,0.9,nan,0.0,nan
late 0.5/0.5,0.95,nan,0.0,nan
late+causal median-5,0.05,0.771,1.0,0.871
late+causal median-5,0.1,0.782,1.0,0.877
late+causal median-5,0.15,0.78,0.991,0.873
late+causal median-5,0.2,0.786,0.991,0.876
late+causal median-5,0.25,0.808,0.874,0.84
late+causal median-5,0.3,0.739,0.586,0.653
late+causal median-5,0.35,0.641,0.369,0.469
late+causal median-5,0.4,0.477,0.189,0.271
late+causal median-5,0.45,0.447,0.153,0.228
late+causal median-5,0.5,0.722,0.117,0.202
late+causal median-5,0.55,0.75,0.054,0.101
late+causal median-5,0.6,1.0,0.018,0.035
late+causal median-5,0.65,1.0,0.018,0.035
late+causal median-5,0.7,nan,0.0,nan
late+causal median-5,0.75,nan,0.0,nan
late+causal median-5,0.8,nan,0.0,nan
late+causal median-5,0.85,nan,0.0,nan
late+causal median-5,0.9,nan,0.0,nan
late+causal median-5,0.95,nan,0.0,nan
late 0.5/0.5+Δ(0.1),0.05,0.771,1.0,0.871
late 0.5/0.5+Δ(0.1),0.1,0.793,1.0,0.884
late 0.5/0.5+Δ(0.1),0.15,0.791,0.991,0.88
late 0.5/0.5+Δ(0.1),0.2,0.775,0.775,0.775
late 0.5/0.5+Δ(0.1),0.25,0.671,0.423,0.519
late 0.5/0.5+Δ(0.1),0.3,0.531,0.234,0.325
late 0.5/0.5+Δ(0.1),0.35,0.477,0.189,0.271
late 0.5/0.5+Δ(0.1),0.4,0.75,0.162,0.267
late 0.5/0.5+Δ(0.1),0.45,0.75,0.054,0.101
late 0.5/0.5+Δ(0.1),0.5,0.75,0.027,0.052
late 0.5/0.5+Δ(0.1),0.55,0.75,0.027,0.052
late 0.5/0.5+Δ(0.1),0.6,1.0,0.027,0.053
late 0.5/0.5+Δ(0.1),0.65,1.0,0.027,0.053
late 0.5/0.5+Δ(0.1),0.7,1.0,0.027,0.053
late 0.5/0.5+Δ(0.1),0.75,1.0,0.018,0.035
late 0.5/0.5+Δ(0.1),0.8,1.0,0.018,0.035
late 0.5/0.5+Δ(0.1),0.85,1.0,0.009,0.018
late 0.5/0.5+Δ(0.1),0.9,1.0,0.009,0.018
late 0.5/0.5+Δ(0.1),0.95,nan,0.0,nan
