method,tau,P,R,F1
audio-only,0.05,0.782,1.0,0.877
audio-only,0.1,0.867,1.0,0.929
audio-only,0.15,0.91,1.0,0.953
audio-only,0.2,0.933,1.0,0.965
audio-only,0.25,0.957,1.0,0.978
audio-only,0.3,0.957,0.991,0.973
audio-only,0.35,0.956,0.973,0.964
audio-only,0.4,0.955,0.955,0.955
audio-only,0.45,0.96,0.865,0.91
audio-only,0.5,0.977,0.766,0.859
audio-only,0.55,0.987,0.703,0.821
audio-only,0.6,1.0,0.568,0.724
audio-only,0.65,1.0,0.45,0.621
audio-only,0.7,1.0,0.324,0.49
audio-only,0.75,1.0,0.207,0.343
audio-only,0.8,1.0,0.072,0.134
audio-only,0.85,1.0,0.027,0.053
audio-only,0.9,nan,0.0,nan
audio-only,0.95,nan,0.0,nan
late 0.5/0.5,0.05,0.771,1.0,0.871
late 0.5/0.5,0.1,0.771,1.0,0.871
late 0.5/0.5,0.15,0.771,1.0,0.871
late 0.5/0.5,0.2,0.771,1.0,0.871
late 0.5/0.5,0.25,0.771,1.0,0.871
late 0.5/0.5,0.3,0.771,1.0,0.871
late 0.5/0.5,0.35,0.771,1.0,0.871
late 0.5/0.5,0.4,0.771,1.0,0.871
late 0.5/0.5,0.45,0.858,0.982,0.916
late 0.5/0.5,0.5,0.938,0.955,0.946
late 0.5/0.5,0.55,0.949,0.847,0.895
late 0.5/0.5,0.6,0.941,0.721,0.816
late 0.5/0.5,0.65,0.965,0.495,0.655
late 0.5/0.5,0.7,1.0,0.306,0.469
late 0.5/0.5,0.75,1.0,0.153,0.266
late 0.5/0.5,0.8,1.0,0.045,0.086
late 0.5/0.5,0.85,nan,0.0,nan
late 0.5/0.5,0.9,nan,0.0,nan
late 0.5/0.5,0.95,nan,0.0,nan
late+causal median-5,0.05,0.771,1.0,0.871
late+causal median-5,0.1,0.771,1.0,0.871
late+causal median-5,0.15,0.771,1.0,0.871
late+causal median-5,0.2,0.771,1.0,0.871
late+causal median-5,0.25,0.771,1.0,0.871
late+causal median-5,0.3,0.771,1.0,0.871
late+causal median-5,0.35,0.771,1.0,0.871
late+causal median-5,0.4,0.769,0.991,0.866
late+causal median-5,0.45,0.859,0.991,0.921
late+causal median-5,0.5,0.929,0.946,0.938
late+causal median-5,0.55,0.942,0.883,0.912
late+causal median-5,0.6,0.933,0.748,0.83
late+causal median-5,0.65,0.983,0.514,0.675
late+causal median-5,0.7,1.0,0.279,0.437
late+causal median-5,0.75,1.0,0.108,0.195
late+causal median-5,0.8,1.0,0.018,0.035
late+causal median-5,0.85,nan,0.0,nan
late+causal median-5,0.9,nan,0.0,nan
late+causal median-5,0.95,nan,0.0,nan
late 0.5/0.5+Δ(0.1),0.05,0.771,1.0,0.871
late 0.5/0.5+Δ(0.1),0.1,0.771,1.0,0.871
late 0.5/0.5+Δ(0.1),0.15,0.771,1.0,0.871
late 0.5/0.5+Δ(0.1),0.2,0.771,1.0,0.871
late 0.5/0.5+Δ(0.1),0.25,0.771,1.0,0.871
late 0.5/0.5+Δ(0.1),0.3,0.771,1.0,0.871
late 0.5/0.5+Δ(0.1),0.35,0.86,1.0,0.925
late 0.5/0.5+Δ(0.1),0.4,0.939,0.973,0.956
late 0.5/0.5+Δ(0.1),0.45,0.95,0.865,0.906
late 0.5/0.5+Δ(0.1),0.5,0.946,0.784,0.857
late 0.5/0.5+Δ(0.1),0.55,0.976,0.73,0.835
late 0.5/0.5+Δ(0.1),0.6,0.976,0.73,0.835
late 0.5/0.5+Δ(0.1),0.65,0.975,0.712,0.823
late 0.5/0.5+Δ(0.1),0.7,0.974,0.667,0.791
late 0.5/0.5+Δ(0.1),0.75,0.965,0.495,0.655
late 0.5/0.5+Δ(0.1),0.8,1.0,0.306,0.469
late 0.5/0.5+Δ(0.1),0.85,1.0,0.153,0.266
late 0.5/0.5+Δ(0.1),0.9,1.0,0.045,0.086
late 0.5/0.5+Δ(0.1),0.95,nan,0.0,nan
