method,tau,P,R,F1
audio-only,0.05,0.782,1.0,0.877
audio-only,0.1,0.867,1.0,0.929
audio-only,0.15,0.91,1.0,0.953
audio-only,0.2,0.933,1.0,0.965
audio-only,0.25,0.957,1.0,0.978
audio-only,0.3,0.957,0.991,0.973
audio-only,0.35,0.956,0.973,0.964
audio-only,0.4,0.955,0.955,0.955
audio-only,0.45,0.96,0.865,0.91
audio-only,0.5,0.977,0.766,0.859
audio-only,0.55,0.987,0.703,0.821
audio-only,0.6,1.0,0.568,0.724
audio-only,0.65,1.0,0.45,0.621
audio-only,0.7,1.0,0.324,0.49
audio-only,0.75,1.0,0.207,0.343
audio-only,0.8,1.0,0.072,0.134
audio-only,0.85,1.0,0.027,0.053
audio-only,0.9,nan,0.0,nan
audio-only,0.95,nan,0.0,nan
late 0.5/0.5,0.05,0.771,1.0,0.871
late 0.5/0.5,0.1,0.771,1.0,0.871
late 0.5/0.5,0.15,0.771,1.0,0.871
late 0.5/0.5,0.2,0.771,1.0,0.871
late 0.5/0.5,0.25,0.771,1.0,0.871
late 0.5/0.5,0.3,0.782,1.0,0.877
late 0.5/0.5,0.35,0.793,1.0,0.884
late 0.5/0.5,0.4,0.804,1.0,0.892
late 0.5/0.5,0.45,0.924,0.991,0.957
late 0.5/0.5,0.5,0.972,0.937,0.954
late 0.5/0.5,0.55,0.989,0.784,0.874
late 0.5/0.5,0.6,0.985,0.604,0.749
late 0.5/0.5,0.65,1.0,0.387,0.558
late 0.5/0.5,0.7,1.0,0.252,0.403
late 0.5/0.5,0.75,1.0,0.126,0.224
late 0.5/0.5,0.8,nan,0.0,nan
late 0.5/0.5,0.85,nan,0.0,nan
late 0.5/0.5,0.9,nan,0.0,nan
late 0.5/0.5,0.95,nan,0.0,nan
late+causal median-5,0.05,0.771,1.0,0.871
late+causal median-5,0.1,0.771,1.0,0.871
late+causal median-5,0.15,0.771,1.0,0.871
late+causal median-5,0.2,0.771,1.0,0.871
late+causal median-5,0.25,0.771,1.0,0.871
late+causal median-5,0.3,0.771,1.0,0.871
late+causal median-5,0.35,0.782,1.0,0.877
late+causal median-5,0.4,0.786,0.991,0.876
late+causal median-5,0.45,0.932,0.991,0.961
late+causal median-5,0.5,0.981,0.955,0.968
late+causal median-5,0.55,1.0,0.865,0.928
late+causal median-5,0.6,1.0,0.613,0.76
late+causal median-5,0.65,1.0,0.378,0.549
late+causal median-5,0.7,1.0,0.207,0.343
late+causal median-5,0.75,1.0,0.045,0.086
late+causal median-5,0.8,nan,0.0,nan
late+causal median-5,0.85,nan,0.0,nan
late+causal median-5,0.9,nan,0.0,nan
late+causal median-5,0.95,nan,0.0,nan
late 0.5/0.5+Δ(0.1),0.05,0.771,1.0,0.871
late 0.5/0.5+Δ(0.1),0.1,0.771,1.0,0.871
late 0.5/0.5+Δ(0.1),0.15,0.771,1.0,0.871
late 0.5/0.5+Δ(0.1),0.2,0.771,1.0,0.871
late 0.5/0.5+Δ(0.1),0.25,0.771,1.0,0.871
late 0.5/0.5+Δ(0.1),0.3,0.793,1.0,0.884
late 0.5/0.5+Δ(0.1),0.35,0.917,1.0,0.957
late 0.5/0.5+Δ(0.1),0.4,0.956,0.982,0.969
late 0.5/0.5+Δ(0.1),0.45,0.979,0.829,0.898
late 0.5/0.5+Δ(0.1),0.5,0.987,0.694,0.815
late 0.5/0.5+Δ(0.1),0.55,1.0,0.667,0.8
late 0.5/0.5+Δ(0.1),0.6,1.0,0.667,0.8
late 0.5/0.5+Δ(0.1),0.65,1.0,0.658,0.793
late 0.5/0.5+Δ(0.1),0.7,1.0,0.577,0.731
late 0.5/0.5+Δ(0.1),0.75,1.0,0.387,0.558
late 0.5/0.5+Δ(0.1),0.8,1.0,0.252,0.403
late 0.5/0.5+Δ(0.1),0.85,1.0,0.126,0.224
late 0.5/0.5+Δ(0.1),0.9,nan,0.0,nan
late 0.5/0.5+Δ(0.1),0.95,nan,0.0,nan
