t0,pv,pa,airborne,rms
0.0,0.8540062308311462,0.0,0,0.00353456218726933
0.5,0.8540062308311462,0.0,0,0.004382787737995386
1.0,0.8586161732673645,0.0,0,0.0041256258264184
1.5,0.8586161732673645,0.0,0,0.004046873655170202
2.0,0.857879638671875,0.0,0,0.004133256617933512
2.5,0.857879638671875,0.0,0,0.004236031323671341
3.0,0.859942615032196,0.0,0,0.0040872604586184025
3.5,0.859942615032196,0.0,0,0.004094736650586128
4.0,0.8575339317321777,0.0,0,0.004188847728073597
4.5,0.8575339317321777,0.0,0,0.003981968387961388
5.0,0.852674663066864,0.0,0,0.005885230842977762
5.5,0.852674663066864,0.0,0,0.0077845873311161995
6.0,0.8414948582649231,0.0,0,0.006815348286181688
6.5,0.8414948582649231,0.0,0,0.005223359912633896
7.0,0.8447256684303284,0.0,0,0.00530707323923707
7.5,0.8447256684303284,0.0,0,0.005135641898959875
8.0,0.8369520306587219,0.0,0,0.00847579911351204
8.5,0.8369520306587219,0.0,0,0.018393155187368393
9.0,0.8395317792892456,0.0,0,0.04061199724674225
9.5,0.8395317792892456,0.0,0,0.08766432851552963
10.0,0.8155587911605835,0.0,0,0.10029260069131851
10.5,0.8155587911605835,0.819,1,0.07779054343700409
11.0,0.7171322107315063,0.0,1,0.0643085241317749
11.5,0.7171322107315063,0.5335,1,0.06915362179279327
12.0,0.7139604687690735,0.7038,1,0.08239508420228958
12.5,0.7139604687690735,0.7355,1,0.07657242566347122
13.0,0.7221947908401489,0.0,1,0.062258776277303696
13.5,0.7221947908401489,0.0,1,0.05885833129286766
14.0,0.7138848900794983,0.0,1,0.0713796615600586
14.5,0.7138848900794983,0.0,1,0.08283741027116776
15.0,0.7401959896087646,0.0,1,0.08195002377033234
15.5,0.7401959896087646,0.762,1,0.09182201325893402
16.0,0.81626296043396,0.775,1,0.1132846549153328
16.5,0.81626296043396,0.744,1,0.10908929258584976
17.0,0.725988507270813,0.6935,1,0.10403639823198318
17.5,0.725988507270813,0.65,1,0.0931621566414833
18.0,0.6719773411750793,0.7883,1,0.06783124804496765
18.5,0.6719773411750793,0.8212,1,0.07552491128444672
19.0,0.7123388648033142,0.7993,1,0.07558280974626541
19.5,0.7123388648033142,0.6633,1,0.07270023226737976
20.0,0.7000798583030701,0.7202,1,0.07006943970918655
20.5,0.7000798583030701,0.66,1,0.07592171430587769
21.0,0.7110511064529419,0.6245,1,0.08273065835237503
21.5,0.7110511064529419,0.0,1,0.07312596589326859
22.0,0.7192507386207581,0.6261,1,0.05715498328208923
22.5,0.7192507386207581,0.5722,1,0.047188472002744675
23.0,0.7178681492805481,0.0,1,0.04802469164133072
23.5,0.7178681492805481,0.5184,1,0.06211426109075546
24.0,0.7213379740715027,0.6061,1,0.07355473190546036
24.5,0.7213379740715027,0.7281,1,0.06930623948574066
25.0,0.6900222301483154,0.6992,1,0.05591758340597153
25.5,0.6900222301483154,0.0,1,0.05520644038915634
26.0,0.7353473901748657,0.6106,1,0.06868063658475876
26.5,0.7353473901748657,0.6726,1,0.0712982788681984
27.0,0.6795490980148315,0.6973,1,0.06575684994459152
27.5,0.6795490980148315,0.6582,1,0.06863917410373688
28.0,0.6618366241455078,0.6769,1,0.08207247406244278
28.5,0.6618366241455078,0.7471,1,0.07957254350185394
29.0,0.6890047192573547,0.6712,1,0.06237996369600296
29.5,0.6890047192573547,0.856,1,0.06736908853054047
30.0,0.6931349039077759,0.7971,1,0.09289009124040604
30.5,0.6931349039077759,0.7959,1,0.09052691608667374
31.0,0.6762825846672058,0.7719,1,0.07437709718942642
31.5,0.6762825846672058,0.7628,1,0.09284459054470062
32.0,0.6853508949279785,0.7728,1,0.08851313591003418
32.5,0.6853508949279785,0.8312,1,0.07132095098495483
33.0,0.7307971119880676,0.7241,1,0.06872820109128952
33.5,0.7307971119880676,0.6486,1,0.061823584139347076
34.0,0.7589432597160339,0.5697,1,0.06489171087741852
34.5,0.7589432597160339,0.5337,1,0.06300410628318787
35.0,0.7138521671295166,0.5784,1,0.05575570836663246
35.5,0.7138521671295166,0.0,1,0.05718662589788437
36.0,0.634613037109375,0.0,1,0.06124373525381088
36.5,0.634613037109375,0.5999,1,0.061732083559036255
37.0,0.64681476354599,0.7283,1,0.056303970515728
37.5,0.64681476354599,0.5908,1,0.06981085985898972
38.0,0.7385936379432678,0.676,1,0.08800721168518066
38.5,0.7385936379432678,0.765,1,0.08617763221263885
39.0,0.7001636028289795,0.7462,1,0.09081736952066422
39.5,0.7001636028289795,0.7972,1,0.08296098560094833
40.0,0.6909298300743103,0.5585,1,0.05509249493479729
40.5,0.6909298300743103,0.0,1,0.04853762313723564
41.0,0.6186544299125671,0.628,1,0.05165085941553116
41.5,0.6186544299125671,0.8611,1,0.06736582517623901
42.0,0.7124127149581909,0.7916,1,0.08539119362831116
42.5,0.7124127149581909,0.7717,1,0.09603612124919891
43.0,0.7625007629394531,0.7892,1,0.08783398568630219
43.5,0.7625007629394531,0.6666,1,0.07573007792234421
44.0,0.6866625547409058,0.6908,1,0.07836778461933136
44.5,0.6866625547409058,0.7702,1,0.08205120265483856
45.0,0.630604088306427,0.7114,1,0.07306244969367981
45.5,0.630604088306427,0.6014,1,0.053478166460990906
46.0,0.6140082478523254,0.0,1,0.04947653040289879
46.5,0.6140082478523254,0.0,1,0.05238298326730728
47.0,0.7685111165046692,0.0,1,0.05014410614967346
47.5,0.7685111165046692,0.0,1,0.052683137357234955
48.0,0.7874870300292969,0.0,1,0.05619101971387863
48.5,0.7874870300292969,0.5778,1,0.059348613023757935
49.0,0.7448543310165405,0.7352,1,0.06425579637289047
49.5,0.7448543310165405,0.7455,1,0.07909846305847168
50.0,0.7107973098754883,0.5428,1,0.08099466562271118
50.5,0.7107973098754883,0.6305,1,0.083938829600811
51.0,0.714719831943512,0.5858,1,0.08250539004802704
51.5,0.714719831943512,0.5577,1,0.06816015392541885
52.0,0.7214964032173157,0.0,1,0.05985520780086517
52.5,0.7214964032173157,0.6388,1,0.05252746120095253
53.0,0.7461420297622681,0.6861,1,0.05543128773570061
53.5,0.7461420297622681,0.5159,1,0.06598860025405884
54.0,0.6802412867546082,0.5975,1,0.07372533529996872
54.5,0.6802412867546082,0.6125,1,0.07364857196807861
55.0,0.6693602204322815,0.0,1,0.06960407644510269
55.5,0.6693602204322815,0.5094,1,0.059227023273706436
56.0,0.6920109987258911,0.6075,1,0.06205816939473152
56.5,0.6920109987258911,0.5867,1,0.06893573701381683
57.0,0.6733351349830627,0.565,1,0.06959346681833267
57.5,0.6733351349830627,0.0,1,0.06373380124568939
58.0,0.6919600367546082,0.0,1,0.06098752096295357
58.5,0.6919600367546082,0.0,1,0.06381048262119293
