imgsz,second,visible,airborne,n_det,max_conf
480,0,1,0,2,0.8839515447616577
480,1,1,0,2,0.8736975789070129
480,2,1,0,2,0.885251522064209
480,3,1,0,2,0.8800879716873169
480,4,1,0,2,0.8844121098518372
480,5,1,0,2,0.8784933090209961
480,6,1,0,2,0.8502557873725891
480,7,1,0,2,0.8520147204399109
480,8,1,0,2,0.8559970855712891
480,9,1,0,2,0.8597614169120789
480,10,1,0,3,0.841813862323761
480,11,1,1,0,0.0
480,12,1,1,0,0.0
480,13,1,1,0,0.0
480,14,1,1,0,0.0
480,15,1,1,0,0.0
480,16,1,1,0,0.0
480,17,1,1,0,0.0
480,18,1,1,3,0.25278741121292114
480,19,1,1,0,0.0
480,20,1,1,0,0.0
480,21,1,1,0,0.0
480,22,1,1,0,0.0
480,23,1,1,0,0.0
480,24,1,1,0,0.0
480,25,1,1,0,0.0
480,26,1,1,0,0.0
480,27,1,1,0,0.0
480,28,1,1,0,0.0
480,29,1,1,0,0.0
480,30,1,1,0,0.0
480,31,1,1,0,0.0
480,32,1,1,0,0.0
480,33,1,1,2,0.3025398850440979
480,34,1,1,0,0.0
480,35,1,1,0,0.0
480,36,1,1,0,0.0
480,37,1,1,0,0.0
480,38,1,1,0,0.0
480,39,1,1,0,0.0
480,40,1,1,0,0.0
480,41,1,1,0,0.0
480,42,1,1,2,0.2924138307571411
480,43,1,1,2,0.34219124913215637
480,44,1,1,2,0.31901758909225464
480,45,1,1,0,0.0
480,46,1,1,0,0.0
480,47,1,1,2,0.39344272017478943
480,48,1,1,0,0.0
480,49,1,1,0,0.0
480,50,1,1,0,0.0
480,51,1,1,0,0.0
480,52,1,1,0,0.0
480,53,1,1,0,0.0
480,54,1,1,0,0.0
480,55,1,1,2,0.48279881477355957
480,56,1,1,0,0.0
480,57,1,1,0,0.0
480,58,1,1,0,0.0
480,59,1,1,0,0.0
480,60,1,1,0,0.0
480,61,1,1,0,0.0
480,62,1,1,0,0.0
480,63,1,1,1,0.29287055134773254
480,64,1,1,3,0.6743454337120056
480,65,1,1,2,0.4723753035068512
480,66,1,0,2,0.34112557768821716
480,67,1,0,0,0.0
480,68,1,0,0,0.0
480,69,1,0,0,0.0
480,70,1,0,2,0.2549596130847931
480,71,1,0,2,0.3796129524707794
480,72,1,0,2,0.5600049495697021
640,0,1,0,2,0.5795891880989075
640,1,1,0,3,0.5785418748855591
640,2,1,0,3,0.5611667633056641
640,3,1,0,3,0.5520685911178589
640,4,1,0,3,0.5599296689033508
640,5,1,0,3,0.509719729423523
640,6,1,0,3,0.5339097380638123
640,7,1,0,3,0.5311364531517029
640,8,1,0,3,0.5326855778694153
640,9,1,0,3,0.5310300588607788
640,10,1,0,3,0.41651254892349243
640,11,1,1,1,0.39706072211265564
640,12,1,1,1,0.43684104084968567
640,13,1,1,1,0.38203972578048706
640,14,1,1,2,0.44164007902145386
640,15,1,1,1,0.40907612442970276
640,16,1,1,3,0.4293603003025055
640,17,1,1,1,0.2836865186691284
640,18,1,1,3,0.32585352659225464
640,19,1,1,2,0.33475470542907715
640,20,1,1,1,0.2826550304889679
640,21,1,1,0,0.0
640,22,1,1,1,0.3066006302833557
640,23,1,1,1,0.33179932832717896
640,24,1,1,0,0.0
640,25,1,1,0,0.0
640,26,1,1,1,0.28076449036598206
640,27,1,1,1,0.3174102306365967
640,28,1,1,1,0.3139714002609253
640,29,1,1,1,0.2973341941833496
640,30,1,1,2,0.42371848225593567
640,31,1,1,2,0.3860461115837097
640,32,1,1,1,0.42478299140930176
640,33,1,1,2,0.5138881206512451
640,34,1,1,2,0.6517171263694763
640,35,1,1,2,0.34201300144195557
640,36,1,1,1,0.3748161792755127
640,37,1,1,1,0.49314016103744507
640,38,1,1,2,0.4377633035182953
640,39,1,1,2,0.4594644606113434
640,40,1,1,3,0.44504180550575256
640,41,1,1,2,0.4441104233264923
640,42,1,1,2,0.3679368197917938
640,43,1,1,2,0.3773951232433319
640,44,1,1,2,0.35756945610046387
640,45,1,1,2,0.44989484548568726
640,46,1,1,2,0.4995079040527344
640,47,1,1,2,0.40708303451538086
640,48,1,1,3,0.4728719890117645
640,49,1,1,1,0.4254287779331207
640,50,1,1,1,0.3211791217327118
640,51,1,1,1,0.37608036398887634
640,52,1,1,1,0.43087390065193176
640,53,1,1,2,0.6087117791175842
640,54,1,1,3,0.4297753572463989
640,55,1,1,3,0.5606709718704224
640,56,1,1,2,0.5352203845977783
640,57,1,1,2,0.6674156188964844
640,58,1,1,2,0.611914336681366
640,59,1,1,2,0.3870846629142761
640,60,1,1,2,0.3887895941734314
640,61,1,1,3,0.586460292339325
640,62,1,1,1,0.3631889820098877
640,63,1,1,3,0.42281588912010193
640,64,1,1,5,0.419291228055954
640,65,1,1,4,0.3285089135169983
640,66,1,0,3,0.28436288237571716
640,67,1,0,3,0.2975766360759735
640,68,1,0,3,0.29399657249450684
640,69,1,0,3,0.314140647649765
640,70,1,0,3,0.3335798978805542
640,71,1,0,3,0.46009305119514465
640,72,1,0,3,0.5367439389228821
