imgsz,second,visible,airborne,n_det,max_conf
480,0,1,0,3,0.8175330758094788
480,1,1,0,3,0.8085857033729553
480,2,1,0,3,0.816667914390564
480,3,1,0,3,0.8197738528251648
480,4,1,0,3,0.8168470859527588
480,5,1,0,3,0.8215333223342896
480,6,1,0,3,0.7995750904083252
480,7,1,0,4,0.8002933859825134
480,8,1,0,4,0.8018842339515686
480,9,1,0,3,0.8016416430473328
480,10,1,0,4,0.7620106935501099
480,11,1,1,3,0.5198657512664795
480,12,1,1,3,0.44681644439697266
480,13,1,1,3,0.40871113538742065
480,14,1,1,4,0.6123328804969788
480,15,1,1,4,0.7462890148162842
480,16,1,1,4,0.7830103635787964
480,17,1,1,3,0.4243004024028778
480,18,1,1,2,0.8152708411216736
480,19,1,1,2,0.8135194778442383
480,20,1,1,2,0.7280138731002808
480,21,1,1,2,0.6484668850898743
480,22,1,1,3,0.5102232694625854
480,23,1,1,4,0.6834386587142944
480,24,1,1,5,0.5267559885978699
480,25,1,1,4,0.6577402949333191
480,26,1,1,5,0.7191170454025269
480,27,1,1,5,0.5453174114227295
480,28,1,1,5,0.6341482400894165
480,29,1,1,5,0.6102727055549622
480,30,1,1,5,0.6474283337593079
480,31,1,1,5,0.6609695553779602
480,32,1,1,4,0.6826195120811462
480,33,1,1,2,0.7436138391494751
480,34,1,1,2,0.7770887613296509
480,35,1,1,4,0.6728339195251465
480,36,1,1,3,0.6098307967185974
480,37,1,1,5,0.5227398872375488
480,38,1,1,2,0.7530475854873657
480,39,1,1,2,0.715390682220459
480,40,1,1,4,0.6862435936927795
480,41,1,1,3,0.7486494779586792
480,42,1,1,1,0.735446572303772
480,43,1,1,1,0.7501355409622192
480,44,1,1,3,0.7088252902030945
480,45,1,1,3,0.7288478016853333
480,46,1,1,3,0.7195662260055542
480,47,1,1,1,0.7467179298400879
480,48,1,1,1,0.786860466003418
480,49,1,1,3,0.6972934007644653
480,50,1,1,5,0.616838812828064
480,51,1,1,4,0.7195733785629272
480,52,1,1,3,0.6308442950248718
480,53,1,1,2,0.7793495059013367
480,54,1,1,3,0.6674586534500122
480,55,1,1,1,0.7846706509590149
480,56,1,1,1,0.7636603116989136
480,57,1,1,1,0.770844042301178
480,58,1,1,1,0.8144741654396057
480,59,1,1,1,0.7661628723144531
480,60,1,1,1,0.7957282066345215
480,61,1,1,1,0.7924947738647461
480,62,1,1,5,0.538644552230835
480,63,1,1,4,0.5387685894966125
480,64,1,1,2,0.7636629343032837
480,65,1,1,4,0.6371189951896667
480,66,1,0,3,0.7794963717460632
480,67,1,0,3,0.7861586213111877
480,68,1,0,3,0.7950129508972168
480,69,1,0,3,0.7936432361602783
480,70,1,0,3,0.8083348274230957
480,71,1,0,3,0.8403036594390869
480,72,1,0,3,0.8369287252426147
640,0,1,0,4,0.8411355018615723
640,1,1,0,4,0.8328835964202881
640,2,1,0,4,0.8324810862541199
640,3,1,0,4,0.8375353217124939
640,4,1,0,4,0.8359307646751404
640,5,1,0,4,0.8382754921913147
640,6,1,0,4,0.8215426802635193
640,7,1,0,4,0.8254354000091553
640,8,1,0,3,0.8265110850334167
640,9,1,0,3,0.8240618109703064
640,10,1,0,3,0.8062257766723633
640,11,1,1,2,0.5476322174072266
640,12,1,1,3,0.7361099123954773
640,13,1,1,2,0.529717206954956
640,14,1,1,3,0.6322473287582397
640,15,1,1,4,0.7864950299263
640,16,1,1,4,0.8049837946891785
640,17,1,1,3,0.5348091125488281
640,18,1,1,2,0.8451581001281738
640,19,1,1,2,0.8155443668365479
640,20,1,1,2,0.770875871181488
640,21,1,1,2,0.5930750966072083
640,22,1,1,2,0.5430171489715576
640,23,1,1,2,0.6868639588356018
640,24,1,1,4,0.589952826499939
640,25,1,1,3,0.5996087789535522
640,26,1,1,3,0.6432067155838013
640,27,1,1,3,0.5110547542572021
640,28,1,1,3,0.4382556676864624
640,29,1,1,3,0.6470347046852112
640,30,1,1,4,0.7576517462730408
640,31,1,1,0,0.0
640,32,1,1,3,0.6815504431724548
640,33,1,1,1,0.8040884137153625
640,34,1,1,1,0.8027576804161072
640,35,1,1,2,0.761150598526001
640,36,1,1,3,0.7750998735427856
640,37,1,1,3,0.7420912384986877
640,38,1,1,3,0.7538092732429504
640,39,1,1,3,0.6945068836212158
640,40,1,1,3,0.6799620985984802
640,41,1,1,2,0.7028939723968506
640,42,1,1,3,0.7511078715324402
640,43,1,1,3,0.7808904647827148
640,44,1,1,3,0.7345899939537048
640,45,1,1,3,0.7373180985450745
640,46,1,1,3,0.7134439945220947
640,47,1,1,3,0.7620539665222168
640,48,1,1,3,0.7933805584907532
640,49,1,1,3,0.7786296606063843
640,50,1,1,3,0.6747311949729919
640,51,1,1,3,0.7406598925590515
640,52,1,1,3,0.7814481258392334
640,53,1,1,2,0.8181129693984985
640,54,1,1,2,0.764905571937561
640,55,1,1,2,0.8230853080749512
640,56,1,1,2,0.8172637224197388
640,57,1,1,2,0.8212896585464478
640,58,1,1,2,0.8104239702224731
640,59,1,1,2,0.814369797706604
640,60,1,1,2,0.8268885016441345
640,61,1,1,2,0.840113639831543
640,62,1,1,4,0.5330616235733032
640,63,1,1,4,0.6304308176040649
640,64,1,1,4,0.8331729173660278
640,65,1,1,4,0.8232881426811218
640,66,1,0,4,0.7676814794540405
640,67,1,0,4,0.7976987957954407
640,68,1,0,4,0.7867787480354309
640,69,1,0,4,0.8015947937965393
640,70,1,0,5,0.8111336827278137
640,71,1,0,5,0.8294071555137634
640,72,1,0,4,0.8293012976646423
