imgsz,second,visible,airborne,n_det,max_conf
sahi640,0,1,0,22,0.866536
sahi640,1,1,0,31,0.84204
sahi640,2,1,0,23,0.859313
sahi640,3,1,0,26,0.857357
sahi640,4,1,0,27,0.862318
sahi640,5,1,0,24,0.853315
sahi640,6,1,0,28,0.848568
sahi640,7,1,0,25,0.854897
sahi640,8,1,0,26,0.859159
sahi640,9,1,0,29,0.859782
sahi640,10,1,0,26,0.858012
sahi640,11,1,1,21,0.730499
sahi640,12,1,1,32,0.733867
sahi640,13,1,1,25,0.726486
sahi640,14,1,1,25,0.728761
sahi640,15,1,1,23,0.775934
sahi640,16,1,1,23,0.744713
sahi640,17,1,1,26,0.747802
sahi640,18,1,1,26,0.802336
sahi640,19,1,1,20,0.749261
sahi640,20,1,1,23,0.743312
sahi640,21,1,1,22,0.737067
sahi640,22,1,1,21,0.741376
sahi640,23,1,1,22,0.896624
sahi640,24,1,1,23,0.795064
sahi640,25,1,1,21,0.735228
sahi640,26,1,1,20,0.763808
sahi640,27,1,1,23,0.738346
sahi640,28,1,1,26,0.804747
sahi640,29,1,1,20,0.853727
sahi640,30,1,1,21,0.839284
sahi640,31,1,1,24,0.745313
sahi640,32,1,1,21,0.790024
sahi640,33,1,1,22,0.86715
sahi640,34,1,1,23,0.850049
sahi640,35,1,1,23,0.874558
sahi640,36,1,1,20,0.811636
sahi640,37,1,1,20,0.802825
sahi640,38,1,1,23,0.832367
sahi640,39,1,1,29,0.811054
sahi640,40,1,1,29,0.774738
sahi640,41,1,1,28,0.769535
sahi640,42,1,1,23,0.766036
sahi640,43,1,1,24,0.739411
sahi640,44,1,1,22,0.748746
sahi640,45,1,1,24,0.788614
sahi640,46,1,1,32,0.758636
sahi640,47,1,1,30,0.76833
sahi640,48,1,1,26,0.872507
sahi640,49,1,1,20,0.834522
sahi640,50,1,1,24,0.849597
sahi640,51,1,1,32,0.848242
sahi640,52,1,1,26,0.864629
sahi640,53,1,1,32,0.88203
sahi640,54,1,1,30,0.848914
sahi640,55,1,1,27,0.903278
sahi640,56,1,1,32,0.731688
sahi640,57,1,1,32,0.734614
sahi640,58,1,1,27,0.880577
sahi640,59,1,1,27,0.905299
sahi640,60,1,1,24,0.907948
sahi640,61,1,1,24,0.888488
sahi640,62,1,1,25,0.745025
sahi640,63,1,1,28,0.74543
sahi640,64,1,1,22,0.87615
sahi640,65,1,1,24,0.879215
sahi640,66,1,0,23,0.877142
sahi640,67,1,0,29,0.89246
sahi640,68,1,0,27,0.895252
sahi640,69,1,0,27,0.901236
sahi640,70,1,0,25,0.898568
sahi640,71,1,0,28,0.90883
sahi640,72,1,0,27,0.895447
