imgsz,second,visible,airborne,n_det,max_conf
sahi640,0,1,0,40,0.797106
sahi640,1,1,0,43,0.780404
sahi640,2,1,0,43,0.787178
sahi640,3,1,0,45,0.804914
sahi640,4,1,0,41,0.817272
sahi640,5,1,0,41,0.819694
sahi640,6,1,0,35,0.800775
sahi640,7,1,0,39,0.794265
sahi640,8,1,0,40,0.78677
sahi640,9,1,0,39,0.784604
sahi640,10,1,0,40,0.786369
sahi640,11,1,1,37,0.783998
sahi640,12,1,1,43,0.787819
sahi640,13,1,1,41,0.773942
sahi640,14,1,1,35,0.770871
sahi640,15,1,1,39,0.803312
sahi640,16,1,1,39,0.807981
sahi640,17,1,1,34,0.807453
sahi640,18,1,1,34,0.80889
sahi640,19,1,1,31,0.797553
sahi640,20,1,1,41,0.802215
sahi640,21,1,1,35,0.791062
sahi640,22,1,1,37,0.797806
sahi640,23,1,1,37,0.833786
sahi640,24,1,1,35,0.791295
sahi640,25,1,1,38,0.797713
sahi640,26,1,1,42,0.756803
sahi640,27,1,1,40,0.758055
sahi640,28,1,1,43,0.7579
sahi640,29,1,1,37,0.805971
sahi640,30,1,1,42,0.751163
sahi640,31,1,1,38,0.804739
sahi640,32,1,1,33,0.808137
sahi640,33,1,1,38,0.87415
sahi640,34,1,1,33,0.845983
sahi640,35,1,1,34,0.886101
sahi640,36,1,1,44,0.763032
sahi640,37,1,1,41,0.787249
sahi640,38,1,1,44,0.792196
sahi640,39,1,1,37,0.787981
sahi640,40,1,1,34,0.783535
sahi640,41,1,1,39,0.815192
sahi640,42,1,1,35,0.796925
sahi640,43,1,1,36,0.796401
sahi640,44,1,1,37,0.780634
sahi640,45,1,1,39,0.790772
sahi640,46,1,1,39,0.808281
sahi640,47,1,1,39,0.80169
sahi640,48,1,1,39,0.842329
sahi640,49,1,1,41,0.809634
sahi640,50,1,1,46,0.801018
sahi640,51,1,1,42,0.810948
sahi640,52,1,1,40,0.833991
sahi640,53,1,1,38,0.868336
sahi640,54,1,1,32,0.865234
sahi640,55,1,1,42,0.874804
sahi640,56,1,1,40,0.794763
sahi640,57,1,1,41,0.796563
sahi640,58,1,1,42,0.887813
sahi640,59,1,1,36,0.873848
sahi640,60,1,1,37,0.87155
sahi640,61,1,1,32,0.891521
sahi640,62,1,1,38,0.80345
sahi640,63,1,1,36,0.806347
sahi640,64,1,1,35,0.805164
sahi640,65,1,1,38,0.848492
sahi640,66,1,0,39,0.840523
sahi640,67,1,0,43,0.877373
sahi640,68,1,0,45,0.87342
sahi640,69,1,0,45,0.874384
sahi640,70,1,0,46,0.872724
sahi640,71,1,0,41,0.887963
sahi640,72,1,0,43,0.887181
