imgsz,second,visible,airborne,n_det,max_conf
480,0,1,0,3,0.7917647957801819
480,1,1,0,3,0.7875043153762817
480,2,1,0,3,0.7874963283538818
480,3,1,0,3,0.7850267291069031
480,4,1,0,3,0.7857828736305237
480,5,1,0,3,0.7835705280303955
480,6,1,0,3,0.7800955176353455
480,7,1,0,3,0.7800575494766235
480,8,1,0,3,0.7814649343490601
480,9,1,0,3,0.7794646620750427
480,10,1,0,3,0.747379720211029
480,11,1,1,4,0.5749696493148804
480,12,1,1,3,0.48077961802482605
480,13,1,1,4,0.5806660056114197
480,14,1,1,3,0.6855869293212891
480,15,1,1,2,0.7674153447151184
480,16,1,1,2,0.787838876247406
480,17,1,1,4,0.5689722895622253
480,18,1,1,3,0.7395161390304565
480,19,1,1,3,0.7234598398208618
480,20,1,1,3,0.5661729574203491
480,21,1,1,3,0.4957687258720398
480,22,1,1,2,0.4589512348175049
480,23,1,1,3,0.4701535701751709
480,24,1,1,4,0.47166529297828674
480,25,1,1,4,0.49817314743995667
480,26,1,1,5,0.6062443852424622
480,27,1,1,5,0.6245028972625732
480,28,1,1,5,0.6909329891204834
480,29,1,1,4,0.6524193286895752
480,30,1,1,4,0.6875246167182922
480,31,1,1,4,0.5494610667228699
480,32,1,1,4,0.6332693099975586
480,33,1,1,3,0.7037484049797058
480,34,1,1,4,0.6430011987686157
480,35,1,1,4,0.6121782660484314
480,36,1,1,5,0.4928208887577057
480,37,1,1,5,0.6011378169059753
480,38,1,1,4,0.7013329863548279
480,39,1,1,3,0.7321287989616394
480,40,1,1,3,0.7196024656295776
480,41,1,1,4,0.6643404364585876
480,42,1,1,4,0.6569891571998596
480,43,1,1,3,0.7193654179573059
480,44,1,1,4,0.6649041771888733
480,45,1,1,3,0.6453366875648499
480,46,1,1,3,0.7211131453514099
480,47,1,1,3,0.7432951331138611
480,48,1,1,3,0.728386402130127
480,49,1,1,4,0.6969510316848755
480,50,1,1,5,0.594854474067688
480,51,1,1,6,0.6054030656814575
480,52,1,1,3,0.6328145861625671
480,53,1,1,5,0.7551077008247375
480,54,1,1,5,0.6163697838783264
480,55,1,1,3,0.6493023037910461
480,56,1,1,4,0.5099818706512451
480,57,1,1,3,0.7302536368370056
480,58,1,1,4,0.7299458980560303
480,59,1,1,6,0.4984542429447174
480,60,1,1,3,0.662689745426178
480,61,1,1,4,0.7221792936325073
480,62,1,1,6,0.5999782681465149
480,63,1,1,4,0.5945281386375427
480,64,1,1,3,0.7828049063682556
480,65,1,1,3,0.5795804262161255
480,66,1,0,3,0.4197240471839905
480,67,1,0,3,0.3861974775791168
480,68,1,0,3,0.4242181181907654
480,69,1,0,3,0.456599622964859
480,70,1,0,4,0.648686408996582
480,71,1,0,3,0.761064887046814
480,72,1,0,3,0.7686727046966553
640,0,1,0,4,0.8083367943763733
640,1,1,0,3,0.807766854763031
640,2,1,0,3,0.8069915175437927
640,3,1,0,3,0.803547739982605
640,4,1,0,3,0.8092023134231567
640,5,1,0,4,0.8049256801605225
640,6,1,0,2,0.8073383569717407
640,7,1,0,2,0.8079121112823486
640,8,1,0,3,0.8076086044311523
640,9,1,0,3,0.806332528591156
640,10,1,0,4,0.7987269163131714
640,11,1,1,3,0.23034609854221344
640,12,1,1,4,0.47940415143966675
640,13,1,1,4,0.392827570438385
640,14,1,1,5,0.6001163721084595
640,15,1,1,1,0.7726089358329773
640,16,1,1,1,0.7908986210823059
640,17,1,1,6,0.37167274951934814
640,18,1,1,4,0.7023297548294067
640,19,1,1,3,0.6855799555778503
640,20,1,1,5,0.7031733393669128
640,21,1,1,5,0.5224827527999878
640,22,1,1,4,0.5123443603515625
640,23,1,1,5,0.32761016488075256
640,24,1,1,4,0.35023316740989685
640,25,1,1,5,0.48680248856544495
640,26,1,1,5,0.6663176417350769
640,27,1,1,6,0.5052059292793274
640,28,1,1,5,0.6703038215637207
640,29,1,1,5,0.5847468972206116
640,30,1,1,5,0.6367741823196411
640,31,1,1,5,0.6414856910705566
640,32,1,1,4,0.6901474595069885
640,33,1,1,2,0.7576413154602051
640,34,1,1,3,0.8043302297592163
640,35,1,1,3,0.759758472442627
640,36,1,1,4,0.6449615359306335
640,37,1,1,5,0.6805307865142822
640,38,1,1,5,0.7207089066505432
640,39,1,1,5,0.7338067889213562
640,40,1,1,4,0.7477951049804688
640,41,1,1,4,0.7429097294807434
640,42,1,1,4,0.7505297660827637
640,43,1,1,3,0.7398483753204346
640,44,1,1,4,0.7483877539634705
640,45,1,1,5,0.7568435072898865
640,46,1,1,3,0.7442376613616943
640,47,1,1,2,0.7647531628608704
640,48,1,1,2,0.787390410900116
640,49,1,1,5,0.6802344918251038
640,50,1,1,6,0.5268287658691406
640,51,1,1,5,0.6857793927192688
640,52,1,1,5,0.7259519100189209
640,53,1,1,5,0.7414925694465637
640,54,1,1,3,0.7068051695823669
640,55,1,1,5,0.7672620415687561
640,56,1,1,6,0.6708602905273438
640,57,1,1,3,0.7824037671089172
640,58,1,1,5,0.7898873686790466
640,59,1,1,5,0.713758647441864
640,60,1,1,5,0.7269014120101929
640,61,1,1,3,0.7473613619804382
640,62,1,1,5,0.5609197616577148
640,63,1,1,3,0.730379045009613
640,64,1,1,2,0.8093571662902832
640,65,1,1,4,0.7836262583732605
640,66,1,0,4,0.789957582950592
640,67,1,0,4,0.8132020235061646
640,68,1,0,4,0.8147225379943848
640,69,1,0,4,0.8106640577316284
640,70,1,0,4,0.8048381209373474
640,71,1,0,4,0.8124251961708069
640,72,1,0,4,0.820898711681366
